,Capital Region,,Central New York Region,,Finger Lakes Region,,Hudson Valley Region,,Long Island Region,,Mohawk Valley Region,,New York City Region,,New York State,,North Country Region,,Southern Tier Region,,Western New York Region,
SOC_CODE,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability
27-1013,0,0.042,,,0,0.042,0,0.042,0,0.042,,,920,0.042,1350,0.042,,,0,0.042,0,0.042
27-1014,,,50,0.015,0,0.015,,,0,0.015,,,1700,0.015,1960,0.015,,,0,0.015,,
27-1021,80,0.037,50,0.037,250,0.037,330,0.037,230,0.037,0,0.037,1730,0.037,2910,0.037,0,0.037,,,110,0.037
27-1022,,,,,,,0,0.021,230,0.021,0,0.021,7020,0.021,7590,0.021,,,,,0,0.021
27-1023,180,0.047,100,0.047,190,0.047,270,0.047,0,0.047,,,840,0.047,2570,0.047,50,0.047,110,0.047,280,0.047
27-1024,640,0.082,420,0.082,860,0.082,1350,0.082,1740,0.082,190,0.082,14790,0.082,21440,0.082,100,0.082,300,0.082,860,0.082
27-1025,90,0.022,0,0.022,150,0.022,,,280,0.022,,,1890,0.022,2970,0.022,,,60,0.022,160,0.022
27-1026,160,0.48,190,0.48,340,0.48,690,0.48,1690,0.48,50,0.48,2980,0.48,6680,0.48,0,0.48,160,0.48,160,0.48
27-1027,,,0,0.0055,0,0.0055,0,0.0055,0,0.0055,,,1830,0.0055,2210,0.0055,,,,,60,0.0055
27-2012,330,0.022,160,0.022,310,0.022,430,0.022,530,0.022,0,0.022,19930,0.022,23490,0.022,50,0.022,170,0.022,240,0.022
27-2021,,,,,0,0.28,0,0.28,,,,,0,0.28,,,,,,,,
27-2022,550,0.013,450,0.013,970,0.013,1620,0.013,1550,0.013,340,0.013,2580,0.013,9730,0.013,340,0.013,460,0.013,860,0.013
27-2023,0,0.98,0,0.98,0,0.98,0,0.98,,,,,,,,,,,,,0,0.98
27-2032,,,,,,,,,0,0.004,,,0,0.004,0,0.004,,,,,,
27-2041,170,0.015,130,0.015,310,0.015,0,0.015,,,120,0.015,1340,0.015,3480,0.015,100,0.015,140,0.015,210,0.015
27-3011,150,0.1,0,0.1,130,0.1,0,0.1,0,0.1,,,1130,0.1,2030,0.1,60,0.1,,,140,0.1
27-3012,50,0.72,50,0.72,0,0.72,0,0.72,110,0.72,,,0,0.72,620,0.72,,,0,0.72,,
27-3021,,,0,0.067,,,,,,,,,810,0.067,,,,,,,,
27-3022,140,0.11,0,0.11,70,0.11,280,0.11,310,0.11,0,0.11,2940,0.11,4050,0.11,50,0.11,0,0.11,,
27-3031,1430,0.18,560,0.18,1020,0.18,860,0.18,1400,0.18,160,0.18,18630,0.18,25440,0.18,150,0.18,440,0.18,690,0.18
27-3041,530,0.055,170,0.055,360,0.055,640,0.055,1150,0.055,120,0.055,16060,0.055,19890,0.055,40,0.055,190,0.055,310,0.055
27-3042,120,0.89,80,0.89,230,0.89,130,0.89,320,0.89,0,0.89,1290,0.89,2390,0.89,0,0.89,50,0.89,130,0.89
27-3043,160,0.038,60,0.038,130,0.038,320,0.038,310,0.038,0,0.038,5440,0.038,6800,0.038,0,0.038,70,0.038,110,0.038
27-3091,90,0.38,0,0.38,280,0.38,110,0.38,,,90,0.38,1710,0.38,2720,0.38,,,0,0.38,0,0.38
27-4011,130,0.55,290,0.55,180,0.55,300,0.55,380,0.55,0,0.55,4230,0.55,6580,0.55,30,0.55,140,0.55,430,0.55
27-4012,110,0.74,160,0.74,110,0.74,0,0.74,110,0.74,,,3100,0.74,4010,0.74,,,50,0.74,180,0.74
27-4014,0,0.13,,,70,0.13,0,0.13,0,0.13,,,1710,0.13,2100,0.13,,,,,0,0.13
27-4021,160,0.021,100,0.021,150,0.021,310,0.021,400,0.021,0,0.021,2280,0.021,3720,0.021,,,90,0.021,100,0.021
27-4031,0,0.6,,,80,0.6,,,0,0.6,,,1200,0.6,1620,0.6,20,0.6,,,0,0.6
27-4032,0,0.31,,,50,0.31,0,0.31,0,0.31,,,4280,0.31,4850,0.31,,,,,,
29-1011,160,0.027,,,110,0.027,120,0.027,570,0.027,,,610,0.027,1840,0.027,0,0.027,0,0.027,170,0.027
29-1021,320,0.0044,340,0.0044,350,0.0044,1040,0.0044,1020,0.0044,120,0.0044,4040,0.0044,7710,0.0044,80,0.0044,130,0.0044,250,0.0044
29-1022,0,0.0036,,,,,0,0.0036,0,0.0036,,,0,0.0036,660,0.0036,,,,,0,0.0036
29-1023,,,,,,,,,0,0.023,,,0,0.023,0,0.023,,,,,,
29-1031,310,0.0039,170,0.0039,310,0.0039,780,0.0039,710,0.0039,150,0.0039,1990,0.0039,4960,0.0039,90,0.0039,130,0.0039,320,0.0039
29-1041,130,0.14,80,0.14,150,0.14,570,0.14,540,0.14,0,0.14,970,0.14,2690,0.14,0,0.14,60,0.14,130,0.14
29-1051,1320,0.012,650,0.012,870,0.012,2100,0.012,2720,0.012,630,0.012,9600,0.012,20430,0.012,390,0.012,420,0.012,1700,0.012
29-1071,800,0.14,580,0.14,810,0.14,930,0.14,2600,0.14,220,0.14,5000,0.14,12070,0.14,250,0.14,180,0.14,690,0.14
29-1081,0,0.0046,,,0,0.0046,0,0.0046,300,0.0046,,,590,0.0046,1140,0.0046,,,0,0.0046,60,0.0046
29-1122,500,0.0035,370,0.0035,670,0.0035,1150,0.0035,1280,0.0035,250,0.0035,2650,0.0035,8140,0.0035,200,0.0035,240,0.0035,720,0.0035
29-1123,1020,0.021,690,0.021,1070,0.021,1840,0.021,3380,0.021,340,0.021,6000,0.021,16390,0.021,390,0.021,350,0.021,1180,0.021
29-1124,160,0.34,,,140,0.34,0,0.34,180,0.34,0,0.34,720,0.34,1540,0.34,0,0.34,0,0.34,190,0.34
29-1125,60,0.0028,0,0.0028,130,0.0028,250,0.0028,310,0.0028,70,0.0028,580,0.0028,1640,0.0028,30,0.0028,80,0.0028,80,0.0028
29-1126,360,0.066,240,0.066,410,0.066,610,0.066,900,0.066,150,0.066,2320,0.066,5840,0.066,100,0.066,160,0.066,540,0.066
29-1127,770,0.0064,360,0.0064,770,0.0064,1450,0.0064,2000,0.0064,230,0.0064,4000,0.0064,11360,0.0064,210,0.0064,260,0.0064,1270,0.0064
29-1131,240,0.038,160,0.038,250,0.038,580,0.038,720,0.038,0,0.038,620,0.038,3040,0.038,60,0.038,140,0.038,210,0.038
29-1181,0,0.0033,0,0.0033,120,0.0033,0,0.0033,0,0.0033,0,0.0033,0,0.0033,920,0.0033,0,0.0033,0,0.0033,100,0.0033
29-1199,50,0.02,90,0.02,,,110,0.02,280,0.02,,,1220,0.02,2110,0.02,0,0.02,0,0.02,50,0.02
29-2011,690,0.9,440,0.9,920,0.9,840,0.9,1700,0.9,220,0.9,4660,0.9,10380,0.9,180,0.9,260,0.9,420,0.9
29-2012,510,0.47,0,0.47,950,0.47,570,0.47,980,0.47,140,0.47,3270,0.47,7740,0.47,120,0.47,260,0.47,400,0.47
29-2021,690,0.68,650,0.68,1050,0.68,1150,0.68,2170,0.68,220,0.68,2820,0.68,10750,0.68,290,0.68,480,0.68,1230,0.68
29-2031,260,0.23,120,0.23,110,0.23,310,0.23,660,0.23,70,0.23,1220,0.23,3110,0.23,70,0.23,50,0.23,230,0.23
29-2032,280,0.35,210,0.35,390,0.35,570,0.35,840,0.35,160,0.35,1780,0.35,4730,0.35,70,0.35,150,0.35,270,0.35
29-2033,60,0.13,50,0.13,70,0.13,0,0.13,240,0.13,50,0.13,520,0.13,1260,0.13,40,0.13,0,0.13,110,0.13
29-2041,1330,0.049,680,0.049,1160,0.049,1830,0.049,2920,0.049,510,0.049,4620,0.049,14750,0.049,260,0.049,650,0.049,780,0.049
29-2051,0,0.13,0,0.13,110,0.13,100,0.13,110,0.13,0,0.13,320,0.13,930,0.13,30,0.13,0,0.13,70,0.13
29-2052,1270,0.92,620,0.92,1250,0.92,1600,0.92,2660,0.92,520,0.92,7050,0.92,17660,0.92,360,0.92,460,0.92,1800,0.92
29-2053,0,0.043,,,170,0.043,370,0.043,0,0.043,,,750,0.043,1540,0.043,,,,,50,0.043
29-2054,,,,,0,0.1,0,0.1,0,0.1,,,0,0.1,280,0.1,,,,,0,0.1
29-2055,310,0.34,200,0.34,350,0.34,430,0.34,700,0.34,130,0.34,2740,0.34,5560,0.34,70,0.34,160,0.34,460,0.34
29-2056,340,0.029,200,0.029,280,0.029,560,0.029,720,0.029,60,0.029,1370,0.029,4270,0.029,100,0.029,340,0.029,310,0.029
29-2061,3700,0.058,2940,0.058,3970,0.058,6010,0.058,5560,0.058,2090,0.058,14070,0.058,46990,0.058,1630,0.058,1800,0.058,5140,0.058
29-2071,650,0.91,480,0.91,500,0.91,870,0.91,1360,0.91,310,0.91,3270,0.91,8800,0.91,210,0.91,260,0.91,870,0.91
29-2081,150,0.71,170,0.71,250,0.71,730,0.71,620,0.71,100,0.71,800,0.71,3450,0.71,80,0.71,100,0.71,450,0.71
29-2091,0,0.0035,,,,,0,0.0035,120,0.0035,0,0.0035,0,0.0035,440,0.0035,,,,,,
29-9011,450,0.17,230,0.17,310,0.17,250,0.17,420,0.17,80,0.17,940,0.17,3230,0.17,80,0.17,110,0.17,270,0.17
29-9012,0,0.25,50,0.25,0,0.25,,,0,0.25,0,0.25,520,0.25,730,0.25,,,,,0,0.25
29-9091,0,0.0071,110,0.0071,110,0.0071,250,0.0071,160,0.0071,50,0.0071,0,0.0071,1240,0.0071,40,0.0071,0,0.0071,150,0.0071
31-1011,4590,0.39,2170,0.39,4500,0.39,11620,0.39,12030,0.39,2140,0.39,128970,0.39,173830,0.39,1240,0.39,1210,0.39,5070,0.39
31-1013,260,0.47,0,0.47,150,0.47,1140,0.47,770,0.47,390,0.47,1860,0.47,5900,0.47,530,0.47,390,0.47,250,0.47
31-2011,100,0.028,0,0.028,140,0.028,450,0.028,260,0.028,70,0.028,790,0.028,2300,0.028,40,0.028,70,0.028,270,0.028
31-2012,0,0.27,0,0.27,,,0,0.27,0,0.27,,,0,0.27,400,0.27,0,0.27,0,0.27,50,0.27
31-2021,290,0.018,210,0.018,330,0.018,530,0.018,810,0.018,180,0.018,1110,0.018,4200,0.018,120,0.018,110,0.018,380,0.018
31-2022,70,0.61,90,0.61,110,0.61,460,0.61,930,0.61,0,0.61,940,0.61,2940,0.61,0,0.61,60,0.61,180,0.61
31-9011,290,0.54,90,0.54,,,470,0.54,1290,0.54,110,0.54,1120,0.54,4180,0.54,30,0.54,100,0.54,0,0.54
31-9091,1030,0.51,800,0.51,1100,0.51,2270,0.51,3830,0.51,280,0.51,8800,0.51,20040,0.51,330,0.51,450,0.51,1120,0.51
31-9092,1090,0.3,710,0.3,990,0.3,2530,0.3,4130,0.3,330,0.3,11490,0.3,23860,0.3,250,0.3,430,0.3,1910,0.3
31-9093,210,0.78,80,0.78,140,0.78,240,0.78,560,0.78,100,0.78,1030,0.78,2720,0.78,60,0.78,100,0.78,190,0.78
31-9094,130,0.89,180,0.89,210,0.89,140,0.89,490,0.89,100,0.89,520,0.89,2190,0.89,60,0.89,50,0.89,300,0.89
31-9095,60,0.72,100,0.72,,,170,0.72,710,0.72,0,0.72,1050,0.72,2480,0.72,130,0.72,0,0.72,140,0.72
31-9096,290,0.86,300,0.86,300,0.86,0,0.86,920,0.86,,,400,0.86,3690,0.86,60,0.86,260,0.86,480,0.86
33-1011,350,0.025,150,0.025,390,0.025,750,0.025,,,210,0.025,1100,0.025,3940,0.025,390,0.025,140,0.025,210,0.025
33-1012,640,0.0044,310,0.0044,530,0.0044,1310,0.0044,1150,0.0044,200,0.0044,6970,0.0044,12160,0.0044,170,0.0044,230,0.0044,650,0.0044
33-1021,0,0.0036,0,0.0036,270,0.0036,520,0.0036,210,0.0036,80,0.0036,,,3770,0.0036,60,0.0036,60,0.0036,320,0.0036
33-2011,210,0.17,0,0.17,710,0.17,1380,0.17,210,0.17,240,0.17,6300,0.17,10490,0.17,210,0.17,0,0.17,880,0.17
33-2021,70,0.48,0,0.48,0,0.48,0,0.48,0,0.48,,,0,0.48,520,0.48,,,0,0.48,0,0.48
33-2022,,,,,,,0,0.048,,,,,,,0,0.048,,,,,,
33-3011,210,0.36,130,0.36,240,0.36,460,0.36,440,0.36,100,0.36,,,3960,0.36,50,0.36,90,0.36,230,0.36
33-3012,3020,0.6,1460,0.6,3770,0.6,6740,0.6,1460,0.6,1740,0.6,8780,0.6,34460,0.6,3900,0.6,1220,0.6,2340,0.6
33-3021,830,0.34,260,0.34,420,0.34,830,0.34,1190,0.34,140,0.34,3840,0.34,8920,0.34,360,0.34,220,0.34,810,0.34
33-3031,,,,,,,,,,,,,,,360,0.08,70,0.08,,,,
33-3041,,,,,0,0.84,170,0.84,100,0.84,,,0,0.84,490,0.84,,,,,0,0.84
33-3051,1880,0.098,1280,0.098,1950,0.098,4930,0.098,4960,0.098,900,0.098,27120,0.098,47870,0.098,820,0.098,1040,0.098,2930,0.098
33-3052,,,,,,,,,,,,,1440,0.57,1480,0.57,,,,,,
33-9011,110,0.21,80,0.21,80,0.21,130,0.21,0,0.21,50,0.21,,,850,0.21,50,0.21,120,0.21,140,0.21
33-9021,120,0.31,50,0.31,60,0.31,0,0.31,150,0.31,,,0,0.31,1960,0.31,,,160,0.31,0,0.31
33-9031,,,,,50,0.95,,,,,,,,,0,0.95,,,,,,
33-9032,3090,0.84,2220,0.84,3220,0.84,9110,0.84,13690,0.84,910,0.84,72770,0.84,112750,0.84,420,0.84,970,0.84,5900,0.84
33-9091,140,0.49,140,0.49,230,0.49,470,0.49,1320,0.49,60,0.49,5470,0.49,8390,0.49,30,0.49,160,0.49,320,0.49
33-9092,820,0.67,300,0.67,490,0.67,810,0.67,1870,0.67,70,0.67,3260,0.67,8770,0.67,160,0.67,430,0.67,460,0.67
35-1011,890,0.1,280,0.1,630,0.1,2410,0.1,1460,0.1,300,0.1,7940,0.1,15110,0.1,260,0.1,280,0.1,640,0.1
35-1012,2770,0.63,2100,0.63,3350,0.63,4770,0.63,6850,0.63,1100,0.63,19780,0.63,46440,0.63,720,0.63,1440,0.63,3450,0.63
35-2011,0,0.81,570,0.81,1670,0.81,670,0.81,2230,0.81,0,0.81,7510,0.81,16780,0.81,1000,0.81,650,0.81,1680,0.81
35-2012,960,0.83,830,0.83,1430,0.83,2070,0.83,2250,0.83,640,0.83,4970,0.83,16020,0.83,540,0.83,700,0.83,1580,0.83
35-2014,3760,0.96,2600,0.96,3430,0.96,6670,0.96,9360,0.96,1160,0.96,33030,0.96,67370,0.96,1290,0.96,1320,0.96,4630,0.96
35-2015,600,0.94,0,0.94,1050,0.94,640,0.94,890,0.94,330,0.94,6450,0.94,12070,0.94,430,0.94,400,0.94,1040,0.94
35-2021,3300,0.87,2820,0.87,2870,0.87,6460,0.87,8690,0.87,1110,0.87,31460,0.87,63560,0.87,1000,0.87,2090,0.87,3670,0.87
35-3011,2960,0.77,1930,0.77,2750,0.77,4070,0.77,4710,0.77,1150,0.77,19090,0.77,43730,0.77,1160,0.77,1630,0.77,4210,0.77
35-3021,10930,0.92,8220,0.92,11600,0.92,18260,0.92,25010,0.92,4020,0.92,51870,0.92,158140,0.92,3340,0.92,6150,0.92,18340,0.92
35-3022,2010,0.96,1350,0.96,2460,0.96,1540,0.96,4450,0.96,660,0.96,15300,0.96,31480,0.96,270,0.96,520,0.96,2760,0.96
35-3031,8520,0.94,5280,0.94,10220,0.94,17270,0.94,22300,0.94,2770,0.94,69170,0.94,155660,0.94,3450,0.94,4010,0.94,12400,0.94
35-3041,1040,0.86,900,0.86,1070,0.86,2390,0.86,2060,0.86,620,0.86,6070,0.86,16550,0.86,260,0.86,590,0.86,1490,0.86
35-9011,1190,0.91,1510,0.91,1680,0.91,3750,0.91,3600,0.91,320,0.91,17980,0.91,33410,0.91,590,0.91,580,0.91,1750,0.91
35-9021,2190,0.77,1500,0.77,2390,0.77,3420,0.77,4460,0.77,950,0.77,14390,0.77,34360,0.77,880,0.77,1430,0.77,2690,0.77
35-9031,1300,0.97,800,0.97,1360,0.97,2780,0.97,3440,0.97,260,0.97,8800,0.97,20990,0.97,340,0.97,640,0.97,1230,0.97
37-1011,760,0.94,450,0.94,740,0.94,1610,0.94,1850,0.94,220,0.94,5700,0.94,13150,0.94,310,0.94,450,0.94,980,0.94
37-1012,230,0.57,260,0.57,380,0.57,810,0.57,1430,0.57,60,0.57,890,0.57,4770,0.57,130,0.57,180,0.57,390,0.57
37-2011,10680,0.66,7160,0.66,10740,0.66,20150,0.66,25620,0.66,3980,0.66,95330,0.66,196830,0.66,3200,0.66,6600,0.66,12310,0.66
37-2012,2770,0.69,1960,0.69,2210,0.69,6300,0.69,3880,0.69,1250,0.69,25460,0.69,50540,0.69,1160,0.69,1530,0.69,3860,0.69
37-2021,180,0.66,90,0.66,120,0.66,1030,0.66,710,0.66,,,590,0.66,2910,0.66,20,0.66,,,120,0.66
37-3011,3870,0.95,2570,0.95,3480,0.95,9320,0.95,13370,0.95,990,0.95,5450,0.95,46430,0.95,1240,0.95,1470,0.95,4400,0.95
37-3012,,,0,0.97,0,0.97,0,0.97,0,0.97,,,0,0.97,560,0.97,0,0.97,,,,
37-3013,0,0.77,,,,,0,0.77,360,0.77,0,0.77,0,0.77,1520,0.77,,,0,0.77,0,0.77
39-1011,,,,,0,0.28,,,,,,,,,370,0.28,,,,,100,0.28
39-1012,,,,,,,,,,,,,,,0,0.54,,,,,0,0.54
39-1021,1060,0.076,630,0.076,930,0.076,2380,0.076,2340,0.076,540,0.076,7320,0.076,17190,0.076,310,0.076,540,0.076,1100,0.076
39-2011,130,0.1,,,60,0.1,110,0.1,170,0.1,0,0.1,0,0.1,720,0.1,,,0,0.1,60,0.1
39-2021,940,0.82,410,0.82,800,0.82,1960,0.82,2780,0.82,260,0.82,4360,0.82,13220,0.82,290,0.82,380,0.82,980,0.82
39-3011,,,,,,,,,,,,,,,1000,0.96,,,,,520,0.96
39-3012,,,,,80,0.91,,,,,0,0.91,,,680,0.91,,,,,140,0.91
39-3021,,,,,,,0,0.97,,,,,0,0.97,0,0.97,,,,,,
39-3031,180,0.96,200,0.96,230,0.96,950,0.96,850,0.96,50,0.96,5950,0.96,9250,0.96,,,140,0.96,520,0.96
39-3091,1030,0.72,520,0.72,1020,0.72,2970,0.72,2710,0.72,270,0.72,4110,0.72,14840,0.72,170,0.72,280,0.72,1590,0.72
39-3092,,,,,,,0,0.61,,,,,1230,0.61,1350,0.61,,,,,,
39-3093,0,0.43,90,0.43,90,0.43,180,0.43,210,0.43,,,1050,0.43,1720,0.43,,,,,50,0.43
39-4011,,,,,,,,,,,,,,,0,0.54,,,,,,
39-4021,150,0.37,0,0.37,120,0.37,,,280,0.37,130,0.37,0,0.37,1270,0.37,,,60,0.37,,
39-5011,350,0.8,,,,,,,0,0.8,,,0,0.8,2130,0.8,,,,,,
39-5012,1160,0.11,580,0.11,1640,0.11,4060,0.11,4180,0.11,450,0.11,11360,0.11,26410,0.11,240,0.11,560,0.11,2130,0.11
39-5091,,,,,,,,,,,,,690,0.01,800,0.01,,,,,,
39-5092,0,0.95,380,0.95,380,0.95,310,0.95,3920,0.95,,,8310,0.95,14080,0.95,0,0.95,130,0.95,0,0.95
39-5093,80,0.79,,,,,420,0.79,370,0.79,,,900,0.79,1890,0.79,,,,,,
39-5094,180,0.29,70,0.29,0,0.29,0,0.29,670,0.29,,,2250,0.29,3950,0.29,0,0.29,60,0.29,80,0.29
39-6011,50,0.83,190,0.83,80,0.83,220,0.83,150,0.83,,,3380,0.83,4290,0.83,0,0.83,,,110,0.83
39-6012,0,0.21,,,160,0.21,460,0.21,0,0.21,,,2750,0.21,4080,0.21,110,0.21,0,0.21,100,0.21
39-7011,0,0.91,50,0.91,160,0.91,210,0.91,0,0.91,,,1590,0.91,2460,0.91,30,0.91,0,0.91,130,0.91
39-7012,,,,,,,,,,,,,0,0.057,0,0.057,,,,,,
39-9011,2500,0.084,1470,0.084,2270,0.084,4910,0.084,4550,0.084,1210,0.084,15300,0.084,36500,0.084,590,0.084,1420,0.084,2290,0.084
39-9021,6130,0.74,4460,0.74,8210,0.74,16700,0.74,23770,0.74,5670,0.74,74130,0.74,156820,0.74,3440,0.74,4390,0.74,9430,0.74
39-9031,1050,0.085,690,0.085,1100,0.085,2390,0.085,2370,0.085,170,0.085,8970,0.085,18420,0.085,170,0.085,290,0.085,1170,0.085
39-9032,1320,0.0061,920,0.0061,1850,0.0061,3400,0.0061,3950,0.0061,470,0.0061,11890,0.0061,27260,0.0061,450,0.0061,740,0.0061,2180,0.0061
39-9041,350,0.064,280,0.064,300,0.064,630,0.064,630,0.064,,,2350,0.064,6330,0.064,150,0.064,340,0.064,440,0.064
41-1011,3940,0.28,2750,0.28,4430,0.28,7640,0.28,10150,0.28,1630,0.28,23230,0.28,63120,0.28,1530,0.28,2060,0.28,5620,0.28
41-1012,880,0.075,680,0.075,1060,0.075,1580,0.075,2440,0.075,190,0.075,11960,0.075,21180,0.075,200,0.075,270,0.075,1500,0.075
41-2011,12450,0.97,8360,0.97,14590,0.97,24980,0.97,30170,0.97,5010,0.97,69260,0.97,193870,0.97,4550,0.97,6760,0.97,17480,0.97
41-2012,,,,,,,,,,,,,,,880,0.83,,,,,250,0.83
41-2021,1240,0.97,1170,0.97,1620,0.97,1900,0.97,3140,0.97,420,0.97,8750,0.97,21180,0.97,460,0.97,710,0.97,1740,0.97
41-2022,740,0.98,940,0.98,1110,0.98,1660,0.98,1680,0.98,460,0.98,1130,0.98,9630,0.98,310,0.98,450,0.98,1150,0.98
41-2031,17210,0.92,12370,0.92,19030,0.92,39870,0.92,53690,0.92,6430,0.92,134640,0.92,322980,0.92,6060,0.92,8430,0.92,24370,0.92
41-3011,410,0.54,240,0.54,470,0.54,740,0.54,1180,0.54,,,17480,0.54,21790,0.54,140,0.54,260,0.54,540,0.54
41-3021,1220,0.92,850,0.92,0,0.92,2800,0.92,4650,0.92,300,0.92,6560,0.92,21040,0.92,190,0.92,430,0.92,1660,0.92
41-3031,840,0.016,610,0.016,910,0.016,,,3950,0.016,170,0.016,46330,0.016,57550,0.016,0,0.016,400,0.016,1850,0.016
41-3041,90,0.099,120,0.099,230,0.099,0,0.099,650,0.099,0,0.099,4440,0.099,5970,0.099,0,0.099,0,0.099,310,0.099
41-4011,880,0.25,700,0.25,1620,0.25,1320,0.25,2920,0.25,110,0.25,5130,0.25,16220,0.25,50,0.25,280,0.25,1840,0.25
41-4012,4080,0.85,3670,0.85,5330,0.85,8030,0.85,15730,0.85,1120,0.85,38620,0.85,87740,0.85,910,0.85,1910,0.85,6860,0.85
41-9011,80,0.51,50,0.51,170,0.51,370,0.51,620,0.51,70,0.51,2260,0.51,4460,0.51,0,0.51,0,0.51,160,0.51
41-9012,0,0.98,,,,,,,,,,,,,490,0.98,,,,,,
41-9021,0,0.97,0,0.97,,,0,0.97,,,0,0.97,930,0.97,1610,0.97,,,0,0.97,,
41-9022,160,0.86,170,0.86,310,0.86,660,0.86,1020,0.86,0,0.86,3350,0.86,6020,0.86,30,0.86,0,0.86,210,0.86
41-9031,160,0.0041,140,0.0041,290,0.0041,290,0.0041,340,0.0041,,,1270,0.0041,2750,0.0041,,,0,0.0041,160,0.0041
41-9041,220,0.99,0,0.99,600,0.99,550,0.99,760,0.99,0,0.99,2800,0.99,7510,0.99,,,180,0.99,0,0.99
43-1011,6420,0.014,4270,0.014,6880,0.014,10520,0.014,17420,0.014,1890,0.014,53680,0.014,114050,0.014,1370,0.014,2760,0.014,8020,0.014
43-2011,390,0.96,240,0.96,370,0.96,420,0.96,810,0.96,150,0.96,2440,0.96,5580,0.96,70,0.96,250,0.96,410,0.96
43-2021,90,0.97,,,0,0.97,0,0.97,140,0.97,,,360,0.97,800,0.97,,,0,0.97,50,0.97
43-3011,570,0.95,530,0.95,1990,0.95,1030,0.95,3060,0.95,240,0.95,4640,0.95,17130,0.95,100,0.95,700,0.95,4200,0.95
43-3021,1620,0.96,1440,0.96,2020,0.96,4070,0.96,7740,0.96,590,0.96,12260,0.96,33680,0.96,420,0.96,700,0.96,2650,0.96
43-3031,7160,0.98,4780,0.98,6900,0.98,11340,0.98,20380,0.98,2850,0.98,47460,0.98,115270,0.98,2150,0.98,3740,0.98,7920,0.98
43-3041,,,,,,,,,,,,,,,260,0.39,,,,,60,0.39
43-3051,590,0.97,440,0.97,880,0.97,1020,0.97,1400,0.97,270,0.97,3730,0.97,9730,0.97,160,0.97,330,0.97,820,0.97
43-3061,380,0.98,190,0.98,350,0.98,360,0.98,610,0.98,140,0.98,1160,0.98,3790,0.98,100,0.98,140,0.98,330,0.98
43-3071,1540,0.98,910,0.98,1280,0.98,3090,0.98,4580,0.98,770,0.98,11060,0.98,26650,0.98,650,0.98,700,0.98,2050,0.98
43-4011,160,0.98,90,0.98,60,0.98,0,0.98,430,0.98,0,0.98,5130,0.98,6250,0.98,,,60,0.98,,
43-4021,0,0.86,,,,,,,0,0.86,,,0,0.86,0,0.86,,,,,0,0.86
43-4031,870,0.46,310,0.46,460,0.46,940,0.46,910,0.46,220,0.46,2430,0.46,7360,0.46,270,0.46,290,0.46,580,0.46
43-4041,70,0.97,70,0.97,100,0.97,100,0.97,320,0.97,0,0.97,860,0.97,1880,0.97,0,0.97,0,0.97,240,0.97
43-4051,10560,0.55,7200,0.55,13740,0.55,14220,0.55,24290,0.55,2950,0.55,62480,0.55,157070,0.55,1920,0.55,4040,0.55,13320,0.55
43-4061,690,0.7,500,0.7,800,0.7,1030,0.7,1780,0.7,340,0.7,3950,0.7,10550,0.7,280,0.7,330,0.7,800,0.7
43-4071,480,0.97,290,0.97,420,0.97,810,0.97,1490,0.97,190,0.97,5040,0.97,9810,0.97,110,0.97,450,0.97,510,0.97
43-4081,710,0.94,680,0.94,530,0.94,790,0.94,800,0.94,180,0.94,4830,0.94,10380,0.94,440,0.94,360,0.94,1040,0.94
43-4111,800,0.94,490,0.94,1240,0.94,1170,0.94,1970,0.94,310,0.94,6730,0.94,14310,0.94,230,0.94,330,0.94,910,0.94
43-4121,430,0.95,460,0.95,560,0.95,1140,0.95,1500,0.95,200,0.95,2090,0.95,7230,0.95,150,0.95,320,0.95,390,0.95
43-4131,230,0.92,200,0.92,260,0.92,470,0.92,1420,0.92,80,0.92,2190,0.92,5780,0.92,0,0.92,200,0.92,660,0.92
43-4141,90,0.99,0,0.99,70,0.99,310,0.99,180,0.99,,,0,0.99,930,0.99,,,0,0.99,,
43-4151,450,0.98,340,0.98,560,0.98,650,0.98,1110,0.98,100,0.98,2490,0.98,6710,0.98,80,0.98,150,0.98,690,0.98
43-4161,720,0.9,410,0.9,930,0.9,900,0.9,1480,0.9,310,0.9,4730,0.9,10920,0.9,180,0.9,340,0.9,800,0.9
43-4171,4650,0.96,3250,0.96,4820,0.96,9570,0.96,18440,0.96,1890,0.96,37610,0.96,90100,0.96,1000,0.96,2450,0.96,6160,0.96
43-4181,290,0.61,150,0.61,80,0.61,220,0.61,550,0.61,,,9600,0.61,11400,0.61,40,0.61,100,0.61,150,0.61
43-5011,0,0.99,0,0.99,100,0.99,240,0.99,1320,0.99,,,4010,0.99,6660,0.99,230,0.99,0,0.99,530,0.99
43-5021,370,0.94,200,0.94,390,0.94,800,0.94,460,0.94,70,0.94,3350,0.94,6150,0.94,80,0.94,180,0.94,230,0.94
43-5031,360,0.49,250,0.49,400,0.49,720,0.49,1090,0.49,150,0.49,340,0.49,4090,0.49,130,0.49,190,0.49,430,0.49
