,Capital Region,,Central New York Region,,Finger Lakes Region,,Hudson Valley Region,,Long Island Region,,Mohawk Valley Region,,New York City Region,,New York State,,North Country Region,,Southern Tier Region,,Western New York Region,
SOC_CODE,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability,Sum of Employment,Sum of Probability
13-1031,1740,0.98,1000,0.98,1230,0.98,1030,0.98,4270,0.98,990,0.98,7670,0.98,20520,0.98,70,0.98,510,0.98,1530,0.98
13-1032,0,0.98,50,0.98,70,0.98,0,0.98,470,0.98,,,,,810,0.98,,,0,0.98,60,0.98
13-1041,1630,0.08,750,0.08,1230,0.08,1720,0.08,1920,0.08,390,0.08,10170,0.08,21130,0.08,740,0.08,390,0.08,2070,0.08
13-1051,720,0.57,450,0.57,770,0.57,1170,0.57,2240,0.57,170,0.57,3060,0.57,9850,0.57,110,0.57,260,0.57,840,0.57
13-1081,170,0.012,110,0.012,400,0.012,370,0.012,440,0.012,0,0.012,1020,0.012,2960,0.012,70,0.012,70,0.012,230,0.012
13-1111,2790,0.13,730,0.13,1610,0.13,2810,0.13,3440,0.13,270,0.13,25340,0.13,40000,0.13,290,0.13,530,0.13,1730,0.13
13-1121,430,0.037,180,0.037,310,0.037,820,0.037,0,0.037,120,0.037,5650,0.037,9150,0.037,40,0.037,140,0.037,430,0.037
13-1141,780,0.47,230,0.47,350,0.47,500,0.47,790,0.47,60,0.47,5500,0.47,8910,0.47,50,0.47,160,0.47,390,0.47
13-1151,1300,0.014,630,0.014,1400,0.014,1880,0.014,1820,0.014,250,0.014,9430,0.014,18970,0.014,230,0.014,390,0.014,1360,0.014
13-1161,1650,0.61,920,0.61,2450,0.61,3840,0.61,4410,0.61,360,0.61,39630,0.61,56840,0.61,230,0.61,640,0.61,2120,0.61
13-1199,2130,0.23,760,0.23,1150,0.23,1640,0.23,2240,0.23,230,0.23,12910,0.23,23420,0.23,390,0.23,,,1270,0.23
13-2011,4640,0.94,2750,0.94,4840,0.94,6520,0.94,13030,0.94,1040,0.94,68380,0.94,108810,0.94,660,0.94,1540,0.94,4830,0.94
13-2021,300,0.9,160,0.9,270,0.9,290,0.9,520,0.9,130,0.9,1040,0.9,3370,0.9,150,0.9,190,0.9,330,0.9
13-2031,570,0.94,0,0.94,140,0.94,210,0.94,280,0.94,0,0.94,1620,0.94,3430,0.94,50,0.94,80,0.94,100,0.94
13-2041,160,0.98,110,0.98,140,0.98,360,0.98,760,0.98,0,0.98,5340,0.98,7630,0.98,0,0.98,90,0.98,490,0.98
13-2051,830,0.23,350,0.23,960,0.23,1710,0.23,1590,0.23,210,0.23,41790,0.23,49020,0.23,0,0.23,310,0.23,980,0.23
13-2052,690,0.58,,,600,0.58,2180,0.58,1880,0.58,120,0.58,20490,0.58,27790,0.58,80,0.58,300,0.58,770,0.58
13-2053,620,0.99,240,0.99,260,0.99,510,0.99,1140,0.99,500,0.99,4180,0.99,7870,0.99,,,120,0.99,210,0.99
13-2061,110,0.17,90,0.17,0,0.17,100,0.17,190,0.17,,,4300,0.17,5140,0.17,,,0,0.17,170,0.17
13-2071,150,0.04,70,0.04,110,0.04,150,0.04,170,0.04,70,0.04,980,0.04,1910,0.04,20,0.04,0,0.04,120,0.04
13-2072,670,0.98,510,0.98,590,0.98,610,0.98,1700,0.98,330,0.98,5250,0.98,11250,0.98,190,0.98,390,0.98,1000,0.98
13-2081,1630,0.93,120,0.93,150,0.93,330,0.93,1320,0.93,0,0.93,1180,0.93,5270,0.93,50,0.93,60,0.93,330,0.93
13-2082,70,0.99,170,0.99,320,0.99,0,0.99,270,0.99,,,940,0.99,2380,0.99,,,130,0.99,160,0.99
13-2099,110,0.33,50,0.33,0,0.33,190,0.33,330,0.33,170,0.33,3070,0.33,4230,0.33,0,0.33,0,0.33,190,0.33
15-1111,60,0.015,,,,,,,,,130,0.015,480,0.015,920,0.015,,,0,0.015,0,0.015
15-1121,3820,0.0065,680,0.0065,2690,0.0065,1980,0.0065,3190,0.0065,340,0.0065,22310,0.0065,38220,0.0065,210,0.0065,460,0.0065,1960,0.0065
15-1131,2170,0.48,560,0.48,1320,0.48,1400,0.48,2160,0.48,260,0.48,7790,0.48,17790,0.48,80,0.48,520,0.48,1250,0.48
15-1132,2290,0.042,1090,0.042,2550,0.042,2560,0.042,3870,0.042,320,0.042,33350,0.042,49360,0.042,90,0.042,1040,0.042,1700,0.042
15-1133,810,0.13,720,0.13,2110,0.13,1740,0.13,2020,0.13,230,0.13,9570,0.13,19010,0.13,20,0.13,580,0.13,940,0.13
15-1141,530,0.03,120,0.03,380,0.03,590,0.03,790,0.03,70,0.03,3550,0.03,6660,0.03,50,0.03,120,0.03,360,0.03
