SOC_CODE,Probability,Capital Region Employment,Central New York Region Employment,Finger Lakes Region Employment,Hudson Valley Region Employment,Long Island Region Employment,Mohawk Valley Region Employment,New York City Region Employment,New York State Employment,North Country Region Employment,Southern Tier Region Employment,Western New York Region Employment
45-4022,0.79,60,0,,,,0,,380,170,0,0
45-4023,0.97,0,,,,,,,0,,0,
47-1011,0.17,1560,1130,1280,2910,4200,370,8400,23530,560,630,1820
47-2011,0.68,80,,,,0,,0,320,,,
47-2021,0.82,330,260,300,570,1020,0,3280,6300,40,0,430
47-2022,0.89,0,,,0,920,,0,1680,,,
47-2031,0.72,2810,2080,2830,7600,10730,960,15640,48240,890,1330,2750
47-2041,,,,0,,220,0,,1350,,,
47-2042,,,,0,,,,,470,,,0
47-2043,,,,,,,,0,0,,,
47-2044,0.75,110,160,,150,390,,0,1890,,90,80
47-2051,0.94,230,150,350,1100,1730,140,3290,7640,40,90,500
47-2053,,,,,,,,,0,,,
47-2061,0.88,3770,2100,3510,9490,12680,1260,20250,61070,1310,1630,4580
47-2071,0.83,0,0,0,,220,70,610,2030,0,,200
47-2072,,,,,,,,0,,,,
47-2073,0.95,1320,600,840,2240,2090,400,1920,11940,480,620,1120
47-2081,0.79,190,0,210,380,650,50,1120,3110,0,100,280
47-2082,0.62,0,,0,150,230,,310,940,,,0
47-2111,0.15,2360,1150,1970,4040,5740,340,20110,40310,570,780,2500
47-2121,0.73,110,0,140,0,470,0,1110,2760,,0,270
47-2131,0.83,70,0,0,0,0,,0,800,,0,0
47-2132,0.64,200,130,150,,240,,0,1110,,0,0
47-2141,0.75,590,420,790,1640,2610,120,5720,13370,150,250,950
47-2142,,,,,,,,0,360,,,
47-2151,0.62,60,0,50,0,0,,0,680,,,50
47-2152,0.35,1120,970,1330,3600,5990,190,12290,28340,220,530,1810
47-2161,,,60,,0,0,,510,660,,,0
47-2171,,,,,,,,450,750,,,
47-2181,0.9,410,400,470,470,610,170,1620,5070,130,250,520
47-2211,0.82,380,80,670,,1650,0,3160,8110,,0,840
47-2221,0.83,0,140,0,1210,1290,,2160,5710,0,,260
47-3011,0.83,0,0,0,0,350,,670,1280,,,
47-3012,0.92,50,90,50,220,0,0,430,1270,,0,0
47-3013,0.74,60,,0,610,560,0,3530,5200,50,,140
47-3014,0.94,0,,,,,,0,290,,,0
47-3015,0.57,0,50,70,360,480,,1790,3020,,,150
47-3016,,,,,,,,,0,,,0
47-4011,0.63,470,340,530,960,1030,240,2550,7240,170,290,640
47-4021,0.39,0,0,0,,180,,3270,3850,,,120
47-4031,,,80,,0,0,,0,,,,
47-4041,0.53,280,170,210,620,430,110,2780,4980,,70,300
47-4051,0.87,2110,1220,1640,2690,1400,1090,,14880,1170,1480,2000
47-4061,,,,,,,,,2330,,,
47-4071,0.83,80,170,0,0,230,,,1410,0,0,100
47-5012,,,,,,,,,0,,,0
47-5013,,,,,,,,,0,,,0
47-5021,0.85,0,,0,0,220,0,0,460,0,0,0
47-5031,,,,,,,,0,0,,,
47-5041,0.54,0,0,0,0,,,,0,,60,0
47-5042,,,,,,,,,0,0,,
47-5051,0.96,0,,,,,,,0,,0,
47-5071,,,,,,,,,0,,,0
47-5081,,,,,,,,,0,,,
49-1011,0.003,1750,1390,1660,2760,3550,700,10070,25590,530,910,2080
49-2011,0.74,410,260,650,550,1400,80,2770,6930,50,120,610
49-2021,0.93,0,,,,,,,270,,,
49-2022,0.36,870,550,400,990,1830,210,4890,11100,170,560,410
49-2091,,,,,,0,,0,0,,0,
49-2092,0.76,0,0,0,0,170,0,0,490,,0,60
49-2093,,,,,,,,510,960,,,
49-2094,0.41,240,200,230,140,250,0,0,2000,60,110,310
49-2095,,,,0,220,,70,1480,2110,50,,50
49-2096,,,,,0,0,,0,590,,,0
49-2097,0.65,80,70,100,0,350,,600,1500,30,60,0
49-2098,0.82,290,130,190,500,1070,80,2030,4690,70,0,210
49-3011,0.71,130,50,90,240,290,,1900,3080,0,100,150
49-3021,0.91,530,410,610,1550,1590,190,1290,7150,70,210,700
49-3022,0.55,0,,0,,,,0,930,,,170
49-3023,0.59,2710,2060,3020,5590,6980,1290,7180,34810,990,1510,3340
49-3031,0.73,860,980,910,1250,2120,420,4610,13300,450,450,910
49-3041,0.75,50,130,100,0,,,,570,70,50,
49-3042,0.4,340,310,250,320,440,90,340,2710,100,140,360
49-3043,,,,,,,,,1400,,130,
49-3051,0.66,120,0,230,,400,0,0,1260,140,0,0
49-3052,0.79,80,,0,120,0,,,650,,0,70
49-3053,0.93,150,150,0,170,320,,0,1480,0,120,190
49-3091,,,,,,,,0,370,,,0
49-3092,,,0,,,,0,,0,30,,0
49-3093,0.7,0,320,0,980,180,0,0,2200,0,120,170
49-9011,,,,0,0,0,,,0,,,0
49-9012,0.63,420,280,480,340,560,50,1640,4310,70,110,370
49-9021,0.65,1030,800,1310,1490,3690,410,5520,15920,200,520,840
49-9031,0.72,180,0,290,0,880,0,1330,3330,,0,0
49-9041,0.67,1080,980,1170,1260,1120,420,1210,9860,350,730,1510
49-9043,0.86,330,280,330,430,480,140,480,3410,160,160,600
49-9044,0.59,150,60,70,,,0,270,920,,,200
49-9045,,,,,,,,,0,,,
49-9051,0.097,300,310,170,870,780,130,,5000,320,380,250
49-9052,0.49,690,370,380,1010,860,80,4750,8900,0,210,340
49-9061,,,,,,0,,0,,,,
49-9062,0.27,150,70,150,,270,0,720,2150,20,60,210
49-9063,,,,,0,130,0,,580,0,,0
49-9064,,,,,,,,0,0,,,
49-9071,0.64,5170,3590,6030,11010,11640,2060,50480,102190,2070,2830,6930
49-9091,0.94,0,160,170,,260,,500,1700,60,0,210
49-9092,,,,,,,,,0,,,
49-9094,0.77,60,0,0,0,0,,630,1110,0,0,0
49-9095,,,,,,,,,0,,0,
49-9096,,,,,0,0,,0,0,,0,
49-9097,,,,,,,,,1060,,,
49-9098,0.79,470,270,200,520,1070,190,1560,4960,60,180,320
51-1011,0.016,1720,1690,3050,2930,4290,790,6140,26240,620,1530,3430
51-2011,,,,,,,,0,0,,,
51-2021,,,,0,0,0,0,,510,,,150
51-2022,0.95,240,1250,1910,710,1860,0,1020,10530,,1650,1600
51-2023,0.97,110,,130,110,320,0,,1390,40,60,390
51-2031,,,,,,,,,420,,0,0
51-2041,0.41,0,160,170,0,320,70,760,2000,50,120,210
51-2091,,,,,,,,,0,,,90
51-2092,0.97,4430,2240,4770,3440,5470,1720,4910,39090,1610,3490,6750
51-2093,,,,,,,,,0,,,
51-3011,0.89,800,410,340,1460,1280,210,4360,10180,130,260,930
51-3021,0.93,260,140,340,950,920,,1870,5090,110,140,260
51-3022,0.94,120,100,70,780,280,,1260,2920,0,60,150
51-3023,0.6,0,,0,230,,,0,910,,,0
51-3091,,,0,0,100,0,0,0,520,,0,0
51-3092,0.7,330,230,740,830,1280,490,2410,7840,290,320,910
51-3093,0.61,0,0,220,,470,0,790,2180,,,430
51-4011,0.86,90,390,880,250,820,,0,4620,50,510,910
51-4012,0.36,0,100,260,0,160,50,0,1160,,70,330
51-4021,,,350,0,160,100,0,0,1250,,0,0
51-4022,,,0,80,0,0,0,,290,,,
51-4023,0.83,0,,180,,0,,,430,,0,90
51-4031,0.78,220,110,450,410,690,200,860,4210,40,230,980
51-4032,0.94,0,0,120,,0,0,,440,,50,60
51-4033,0.95,0,170,420,100,280,200,0,2070,,160,510
51-4034,0.84,0,180,460,,0,0,0,1400,,80,390
51-4035,,,,120,,130,,0,540,,0,160
51-4041,0.65,900,1000,3010,1260,2140,430,850,13900,170,1180,2740
51-4051,,,,0,,,,,530,,,110
51-4052,,,60,,,,,0,340,,,0
51-4061,,,,50,0,,,0,0,,,0
51-4062,,,,,,,,,0,,,0
51-4071,,,,,,,,,0,,,
51-4072,0.95,150,410,780,400,300,330,0,3270,190,100,470
51-4081,0.91,200,290,600,150,460,90,0,2630,,0,560
51-4111,0.84,90,160,470,160,220,80,0,2540,,130,980
51-4121,0.94,630,740,1000,920,1260,290,1800,9190,220,620,1600
51-4122,0.61,0,50,100,0,0,0,0,790,60,70,230
51-4191,,,0,140,0,110,90,0,740,,120,80
51-4192,,,0,,,0,,,0,,,0
51-4193,0.92,0,,160,0,180,0,,1330,,500,220
51-4194,,,,0,,0,,0,370,,,80
51-5111,0.97,220,60,210,0,430,60,580,2120,,130,260
51-5112,0.83,660,370,1070,660,1460,280,2960,8960,230,320,940
51-5113,0.95,200,90,260,0,430,70,350,1680,,130,110
51-6011,0.71,690,680,560,1430,2430,410,8200,15650,170,240,760
51-6021,0.81,0,0,170,630,320,0,770,2320,,80,120
51-6031,0.89,150,50,430,320,1010,300,8570,11530,60,130,490
51-6041,,,,,,,160,360,660,,,
51-6051,0.99,0,,0,,0,,280,990,,,
51-6052,0.84,0,0,60,130,,,780,,0,,0
51-6061,,,,,,,,0,0,,,
51-6062,,,,,0,0,0,260,600,,,80
51-6063,,,,,,,90,290,790,,,
51-6064,,,60,,0,,,,310,,,
51-6091,,,,0,,,,,0,,,
51-6092,,,,0,,0,,1060,1120,,,
51-6093,,,0,0,0,170,,800,1520,,,0
51-7011,0.92,140,240,230,450,750,0,1330,3540,30,0,280
51-7021,0.87,0,,0,0,280,,0,870,,,120
51-7031,,,,,,,,,0,,,
51-7032,,,,,,,,,0,,,
51-7041,0.86,150,150,70,0,0,50,0,980,30,130,230
51-7042,0.97,170,140,0,280,610,260,0,2210,20,0,360
51-8012,,,,,0,,,0,270,,,
51-8013,0.85,150,150,0,240,0,0,730,1940,140,50,120
51-8021,0.89,420,150,250,270,300,90,1950,4030,,100,360
51-8031,0.61,470,350,290,730,640,300,660,4530,250,250,590
51-8091,0.85,360,,,,,,,740,,,130
51-8092,,,,0,0,0,,,260,,,
51-8093,,,,,120,,,,0,,,0
51-8099,,,,,,,,0,0,,,
51-9011,0.76,50,70,200,260,,,0,1930,0,,690
51-9012,0.88,80,170,200,0,210,70,380,1800,60,160,150
51-9021,0.97,180,0,70,0,110,0,250,980,60,80,110
51-9022,0.97,60,110,140,0,130,0,550,1400,,50,140
51-9023,0.83,750,180,380,690,2230,150,1150,6910,140,260,970
51-9031,0.64,0,,0,0,100,,570,850,,0,0
51-9032,0.86,210,70,480,170,320,0,400,2340,0,110,330
51-9041,0.93,520,0,190,0,460,50,270,2800,,230,670
51-9051,0.37,0,,50,0,,,,430,60,80,90
51-9061,0.98,1680,1470,2880,2050,4230,740,2970,21310,520,1510,3070
51-9071,0.95,0,50,170,800,310,0,4190,5820,,0,180
51-9081,0.97,50,0,220,420,390,60,470,2150,0,50,290
51-9082,0.45,0,,0,0,150,,0,740,,0,60
51-9083,0.97,110,200,730,590,380,0,850,3180,,60,180
51-9111,0.98,500,1100,1940,1610,3000,410,3140,15110,400,670,2280
51-9121,0.91,250,100,270,100,320,140,0,2000,60,190,410
51-9122,0.69,60,160,120,340,470,60,0,1580,30,80,0
51-9123,0.92,0,,90,0,170,0,0,690,,70,0
51-9141,,,,,,,,,420,,160,
51-9151,0.99,0,70,100,180,130,,1040,1760,,,100
51-9191,0.95,110,,,,0,,0,350,,0,60
51-9192,0.81,0,0,0,0,0,0,0,400,,0,130
51-9193,,,,70,,,,,0,,,0
51-9194,,,0,0,0,0,0,0,290,,,0
51-9195,0.9,70,60,170,0,180,0,0,1190,,190,
51-9196,0.67,790,630,460,0,620,,610,4770,0,90,430
51-9198,0.66,580,410,900,1000,1690,350,3310,10350,380,380,1250
53-1011,,,,0,0,,,0,300,,,
53-1021,0.42,540,520,460,880,1380,300,2610,7760,120,240,630
53-1031,0.029,590,530,620,1080,1400,240,5160,11010,160,210,780
53-2011,,,,,,,,5180,5830,,310,
53-2012,0.55,80,,80,,410,0,420,1280,,,0
53-2021,,,,,,740,,,1100,,,
53-2022,,,,,,0,,0,390,,,
53-2031,,,,,,0,,9030,9320,,,
53-3011,,,,,0,480,,1120,1920,90,,60
53-3021,0.67,270,0,440,1920,1570,0,15700,20880,120,390,270
53-3022,0.89,2780,2510,4570,9300,9710,1680,13250,50500,1170,1660,3860
53-3031,0.98,1340,1080,1880,1230,4170,530,9120,22070,430,630,1650
53-3032,0.79,4770,4890,4650,6370,9940,2300,13540,57290,1280,2820,5850
53-3033,0.69,2280,2290,2740,4780,7690,1040,16790,43840,780,1670,3380
53-3041,0.89,760,500,870,2620,2000,170,6310,15140,110,250,1160
53-4011,,,,,,,,,1650,,,
53-4013,,,,,,,,,0,,,
53-4021,,,,,,,,,640,,,
53-4031,,,,,,,,,6070,,,
53-4041,,,,,,,,,3630,,,
53-5011,,,,,,520,,860,1620,,,220
53-5021,,,,,110,360,,1130,1770,,,130
53-5031,,,,,,,,370,660,,,100
53-6011,,,,,,,,,340,,,
53-6021,0.87,590,300,380,1230,1740,0,9760,16280,60,170,920
53-6031,0.83,250,320,190,990,880,360,810,4890,0,100,0
53-6041,0.9,70,,0,0,0,,940,1350,,,0
53-6051,0.9,60,,,0,130,,3410,4160,,,50
53-6061,,,,,0,100,,1320,1630,,,0
53-7011,0.93,0,100,170,0,,,,740,,0,100
53-7021,0.9,100,0,60,290,,0,0,1390,0,0,0
53-7032,0.94,90,130,0,,160,70,450,1540,50,50,0
53-7033,,,,,,,,,0,,,
53-7041,,,,,0,,,,0,,,
53-7051,0.93,1680,980,1340,1750,2030,590,3030,14860,220,830,2100
53-7061,0.37,910,710,1230,2170,3220,300,5980,17140,270,490,1620
53-7062,0.85,7130,5770,6400,11180,17130,3160,42270,109540,1770,4030,9010
53-7063,0.93,140,160,340,130,150,680,0,2660,220,320,410
53-7064,0.38,1320,990,1660,2790,4330,1030,10820,27740,560,1200,2720
53-7071,,,,,,,,,0,,,
53-7072,,,,,,,,,0,,,
53-7073,,,,,,,,,0,,,
53-7081,0.93,320,160,290,1130,1190,170,5990,9970,170,140,370
53-7121,,,,,,,,,0,,,
