SOC_CODE,Capital Region Employment,Capital Region Probability,Central New York Region Employment,Central New York Region Probability,Finger Lakes Region Employment,Finger Lakes Region Probability,Hudson Valley Region Employment,Hudson Valley Region Probability,Long Island Region Employment,Long Island Region Probability,Mohawk Valley Region Employment,Mohawk Valley Region Probability,New York City Region Employment,New York City Region Probability,New York State Employment,New York State Probability,North Country Region Employment,North Country Region Probability,Southern Tier Region Employment,Southern Tier Region,Western New York Region Employment,Western New York Region Probability
13-2099,110,0,50,0,0,0,190,0,330,0,170,0,3070,0,4230,0,0,0,0,0,190,0
15-1111,60,0,,,,,,,,,130,0,480,0,920,0,,,0,0,0,0
15-1121,3820,0,680,0,2690,0,1980,0,3190,0,340,0,22310,0,38220,0,210,0,460,0,1960,0
15-1131,2170,0,560,0,1320,0,1400,0,2160,0,260,0,7790,0,17790,0,80,0,520,0,1250,0
15-1132,2290,0,1090,0,2550,0,2560,0,3870,0,320,0,33350,0,49360,0,90,0,1040,0,1700,0
15-1133,810,0,720,0,2110,0,1740,0,2020,0,230,0,9570,0,19010,0,20,0,580,0,940,0
15-1141,530,0,120,0,380,0,590,0,790,0,70,0,3550,0,6660,0,50,0,120,0,360,0
15-1142,1610,0,730,0,1610,0,2100,0,2860,0,310,0,12690,0,24600,0,210,0,630,0,1520,0
15-2011,140,0,,,,,,,,,0,0,1680,0,2410,0,,,0,0,0,0
15-2021,,,,,,,,,,,,,,,0,0,,,,,,
15-2031,190,0,150,0,170,0,510,0,220,0,60,0,4010,0,5700,0,,,0,0,320,0
15-2041,90,0,0,0,0,0,0,0,0,0,,,690,0,1040,0,,,0,0,0,0
15-2091,,,,,,,,,,,,,,,0,1,,,,,,
17-1011,350,0,180,0,260,0,,,,,0,0,9820,0,12550,0,60,0,90,0,390,0
17-1012,160,0,80,0,0,0,0,0,200,0,0,0,590,0,1470,0,,,,,50,0
17-1021,,,0,1,,,0,1,,,,,0,1,0,1,,,,,,
17-1022,140,0,0,0,150,0,230,0,270,0,,,560,0,1680,0,40,0,0,0,80,0
17-2011,,,50,0,,,0,0,140,0,,,0,0,380,0,,,0,0,,
17-2031,50,0,,,270,0,0,0,0,0,,,0,0,780,0,,,0,0,,
17-2041,270,0,0,0,310,0,160,0,0,0,,,0,0,1130,0,,,50,0,170,0
17-2051,1310,0,570,0,990,0,1690,0,1880,0,190,0,7060,0,15450,0,210,0,440,0,800,0
17-2061,70,0,130,0,310,0,0,0,170,0,70,0,350,0,1630,0,,,,,0,0
17-2071,1600,0,650,0,1310,0,2160,0,1420,0,160,0,2810,0,11270,0,20,0,470,0,570,0
17-2072,230,0,170,0,370,0,310,0,970,0,,,610,0,3450,0,20,0,220,0,180,0
17-2081,540,0,240,0,130,0,300,0,470,0,60,0,1020,0,3290,0,90,0,90,0,310,0
17-2111,230,0,50,0,,,320,0,210,0,0,0,530,0,1830,0,20,0,100,0,120,0
17-2112,1390,0,760,0,1700,0,1320,0,1180,0,160,0,1150,0,10290,0,110,0,1120,0,1370,0
17-2121,,,,,,,,,,,,,0,0,0,0,,,,,,
17-2131,280,0,50,0,80,0,0,0,0,0,0,0,0,0,1220,0,0,0,,,,
17-2141,1600,0,730,0,1680,0,990,0,1360,0,220,0,2210,0,11320,0,90,0,810,0,1490,0
17-2151,,,,,,,,,,,,,,,0,0,,,,,,
17-2161,,,0,0,70,0,,,,,,,,,540,0,,,,,,
17-2199,240,0,230,0,370,0,,,390,0,,,680,0,2770,0,20,0,0,0,180,0
17-3011,440,1,200,1,270,1,560,1,1020,1,0,1,3280,1,6210,1,30,1,110,1,250,1
17-3012,80,1,120,1,190,1,0,1,180,1,,,600,1,1480,1,,,90,1,110,1
17-3013,220,1,200,1,320,1,250,1,560,1,60,1,1170,1,3750,1,30,1,160,1,750,1
17-3021,,,,,,,,,,,,,,,0,0,,,,,,
17-3022,190,1,100,1,140,1,370,1,320,1,0,1,460,1,1840,1,20,1,60,1,110,1
17-3023,470,1,320,1,880,1,900,1,1040,1,60,1,1270,1,5880,1,40,1,440,1,430,1
17-3024,,,,,60,1,0,1,110,1,,,,,530,1,,,0,1,0,1
17-3025,90,0,80,0,90,0,0,0,210,0,,,400,0,1220,0,0,0,0,0,0,0
17-3026,510,0,130,0,700,0,270,0,200,0,0,0,0,0,3170,0,40,0,620,0,280,0
17-3027,270,0,100,0,190,0,0,0,290,0,0,0,0,0,1550,0,,,180,0,150,0
17-3029,320,0,80,0,230,0,0,0,110,0,0,0,550,0,2030,0,70,0,,,140,0
17-3031,90,1,100,1,,,210,1,530,1,0,1,0,1,1480,1,50,1,90,1,90,1
19-1011,,,,,,,,,,,,,,,0,0,,,150,0,,
19-1012,,,0,0,90,0,140,0,0,0,,,0,0,580,0,,,60,0,70,0
19-1013,,,,,0,0,,,0,0,,,0,0,0,0,,,50,0,0,0
19-1021,210,0,,,60,0,0,0,230,0,,,0,0,1530,0,0,0,90,0,,
19-1022,0,0,0,0,0,0,0,0,190,0,,,260,0,1340,0,,,70,0,0,0
19-1023,,,,,,,0,0,0,0,0,0,0,0,430,0,30,0,50,0,0,0
19-1029,0,0,0,0,0,0,,,120,0,,,250,0,620,0,,,0,0,60,0
19-1031,0,0,0,0,0,0,,,0,0,0,0,0,0,,,20,0,0,0,0,0
19-1032,0,0,,,,,,,,,0,0,,,0,0,20,0,50,0,0,0
19-1041,,,,,,,0,0,0,0,,,0,0,0,0,,,,,,
19-1042,610,0,,,290,0,720,0,1120,0,0,0,5370,0,9900,0,,,0,0,640,0
19-2012,0,0,0,0,,,0,0,,,0,0,0,0,1070,0,,,220,0,,
19-2021,90,1,,,,,0,1,0,1,,,0,1,470,1,,,,,,
19-2031,400,0,110,0,160,0,0,0,1070,0,0,0,930,0,4170,0,0,0,170,0,270,0
19-2032,70,0,0,0,,,0,0,0,0,,,,,370,0,,,,,,
19-2041,500,0,230,0,170,0,480,0,630,0,0,0,1210,0,3700,0,80,0,80,0,270,0
19-2042,170,1,50,1,0,1,0,1,110,1,0,1,290,1,940,1,,,,,60,1
19-2043,0,0,,,,,,,100,0,,,,,0,0,,,,,0,0
19-2099,520,0,,,50,0,0,0,,,,,310,0,970,0,,,,,,
19-3011,70,0,,,0,0,,,0,0,0,0,380,0,570,0,,,0,0,0,0
19-3022,,,,,50,0,,,,,,,290,0,620,0,,,,,,
19-3031,620,0,530,0,670,0,1830,0,1580,0,190,0,4710,0,11230,0,210,0,330,0,570,0
19-3039,,,,,0,0,0,0,100,0,,,270,0,610,0,20,0,,,,
19-3041,,,,,,,,,,,,,270,0,290,0,,,,,,
19-3051,130,0,50,0,120,0,190,0,0,0,0,0,680,0,1430,0,20,0,0,0,100,0
19-3091,,,,,,,,,,,,,0,0,0,0,,,,,,
19-3092,,,,,,,,,,,,,,,0,0,,,,,,
19-3093,80,0,0,0,70,0,0,0,0,0,60,0,,,460,0,60,0,0,0,0,0
19-3094,0,0,,,,,,,,,,,0,0,0,0,,,,,,
19-3099,210,0,70,0,70,0,0,0,0,0,,,1830,0,2470,0,50,0,0,0,0,0
19-4011,0,1,,,60,1,0,1,,,,,0,1,930,1,20,1,560,1,110,1
19-4021,420,0,240,0,120,0,410,0,390,0,0,0,1110,0,3440,0,60,0,350,0,270,0
19-4031,440,1,,,150,1,0,1,480,1,0,1,500,1,2710,1,70,1,200,1,310,1
19-4041,,,,,,,,,0,1,,,,,0,1,,,,,0,1
19-4061,1010,1,150,1,50,1,220,1,710,1,,,2950,1,6340,1,,,210,1,,
19-4091,140,1,100,1,130,1,280,1,320,1,0,1,830,1,2170,1,20,1,50,1,210,1
19-4092,130,0,,,,,0,0,0,0,,,,,720,0,,,,,0,0
19-4093,,,0,0,,,0,0,,,0,0,,,410,0,30,0,,,50,0
19-4099,220,1,160,1,610,1,230,1,590,1,70,1,2860,1,5120,1,20,1,130,1,,
21-1011,520,0,260,0,360,0,840,0,800,0,180,0,3760,0,7590,0,210,0,180,0,470,0
21-1012,1230,0,720,0,1660,0,2440,0,2200,0,670,0,10300,0,22620,0,480,0,1100,0,1800,0
21-1013,100,0,0,0,0,0,0,0,0,0,,,280,0,730,0,,,0,0,0,0
21-1014,400,0,390,0,560,0,950,0,960,0,250,0,2480,0,6960,0,80,0,170,0,730,0
21-1015,540,0,200,0,650,0,1900,0,880,0,450,0,3120,0,8750,0,200,0,190,0,590,0
21-1021,1380,0,560,0,1140,0,2130,0,2150,0,470,0,12410,0,22630,0,360,0,560,0,1400,0
21-1022,690,0,350,0,950,0,1490,0,1360,0,270,0,6230,0,12540,0,180,0,330,0,680,0
21-1023,580,0,520,0,720,0,1330,0,1260,0,350,0,4980,0,11040,0,190,0,350,0,760,0
21-1091,350,0,160,0,360,0,270,0,430,0,120,0,2760,0,4890,0,100,0,160,0,180,0
21-1092,420,0,280,0,440,0,730,0,450,0,210,0,1020,0,4450,0,290,0,180,0,410,0
21-1093,2520,0,1770,0,2520,0,4210,0,2290,0,830,0,15020,0,33340,0,740,0,1170,0,2240,0
21-2011,720,0,310,0,470,0,700,0,,,150,0,3830,0,8490,0,160,0,250,0,790,0
21-2021,250,0,160,0,240,0,350,0,550,0,50,0,1190,0,3360,0,80,0,60,0,440,0
23-1011,3410,0,1450,0,1980,0,4580,0,7970,0,460,0,48860,0,72760,0,370,0,580,0,2690,0
23-1012,,,,,,,0,0,,,,,,,690,0,,,,,0,0
23-1021,,,0,1,,,0,1,200,1,,,870,1,1410,1,,,,,90,1
23-1022,90,0,0,0,0,0,0,0,0,0,,,0,0,460,0,,,50,0,0,0
23-1023,340,0,200,0,330,0,390,0,190,0,170,0,,,3250,0,210,0,280,0,340,0
23-2011,1150,1,640,1,1010,1,1770,1,3120,1,100,1,12630,1,22220,1,140,1,360,1,1240,1
23-2091,0,1,0,1,0,1,0,1,230,1,,,610,1,1380,1,,,,,110,1
23-2093,90,1,0,1,170,1,0,1,0,1,0,1,1420,1,3450,1,0,1,0,1,150,1
25-2011,1810,0,1460,0,1850,0,5640,0,4750,0,520,0,20180,0,40000,0,370,0,930,0,2500,0
25-2012,450,0,250,0,730,0,1320,0,1350,0,210,0,1700,0,7400,0,210,0,450,0,750,0
25-2021,3890,0,3300,0,5210,0,10810,0,13470,0,1940,0,29950,0,79560,0,1620,0,3100,0,6280,0
25-2022,2040,0,2260,0,2940,0,6640,0,6590,0,1180,0,14040,0,40350,0,870,0,970,0,2820,0
25-2023,140,0,220,0,150,0,260,0,320,0,70,0,0,0,1930,0,40,0,70,0,260,0
25-2031,4320,0,2360,0,6250,0,10210,0,11470,0,1960,0,19670,0,65880,0,1440,0,2690,0,5510,0
25-2032,420,0,190,0,530,0,330,0,580,0,220,0,660,0,4170,0,440,0,190,0,610,0
25-2053,450,0,400,0,890,0,1410,0,1810,0,270,0,4980,0,11320,0,170,0,260,0,670,0
25-2054,860,0,390,0,1570,0,3100,0,2420,0,420,0,6530,0,17270,0,270,0,540,0,1180,0
25-3011,180,0,520,0,130,0,640,0,490,0,140,0,2480,0,5010,0,30,0,100,0,290,0
25-3021,1560,0,760,0,1820,0,4770,0,5580,0,650,0,16440,0,34010,0,230,0,640,0,1550,0
25-4011,0,1,0,1,0,1,0,1,0,1,0,1,640,1,870,1,,,0,1,0,1
25-4012,80,0,0,0,60,0,0,0,0,0,0,0,920,0,1310,0,20,0,0,0,50,0
25-4013,90,1,0,1,,,0,1,0,1,,,580,1,920,1,,,0,1,70,1
25-4021,820,1,560,1,770,1,1850,1,2470,1,270,1,3530,1,11860,1,240,1,500,1,840,1
25-4031,400,1,390,1,370,1,1340,1,1510,1,170,1,2010,1,7390,1,260,1,340,1,600,1
25-9011,50,0,0,0,180,0,0,0,0,0,,,0,0,680,0,30,0,0,0,60,0
25-9021,,,,,,,,,,,,,,,0,0,,,,,,
25-9031,980,0,450,0,770,0,760,0,1060,0,190,0,5800,0,11650,0,190,0,780,0,650,0
25-9041,6570,1,5030,1,8490,1,20120,1,22160,1,3180,1,44340,1,125840,1,2380,1,4450,1,9050,1
27-1011,150,0,60,0,160,0,210,0,320,0,0,0,6780,0,7960,0,,,0,0,130,0
27-1012,,,,,,,0,0,,,,,260,0,,,,,,,,
27-1013,0,0,,,0,0,0,0,0,0,,,920,0,1350,0,,,0,0,0,0
27-1014,,,50,0,0,0,,,0,0,,,1700,0,1960,0,,,0,0,,
