SOC_CODE,Capital Region Employment,Capital Region Probability,Central New York Region Employment,Central New York Region Probability,Finger Lakes Region Employment,Finger Lakes Region Probability,Hudson Valley Region Employment,Hudson Valley Region Probability,Long Island Region Employment,Long Island Region Probability,Mohawk Valley Region Employment,Mohawk Valley Region Probability,New York City Region Employment,New York City Region Probability,New York State Employment,New York State Probability,North Country Region Employment,North Country Region Probability,Southern Tier Region Employment,Southern Tier Region,Western New York Region Employment,Western New York Region Probability
33-1012,640,0,310,0,530,0,1310,0,1150,0,200,0,6970,0,12160,0,170,0,230,0,650,0
33-1021,0,0,0,0,270,0,520,0,210,0,80,0,,,3770,0,60,0,60,0,320,0
33-2011,210,0,0,0,710,0,1380,0,210,0,240,0,6300,0,10490,0,210,0,0,0,880,0
33-2021,70,0,0,0,0,0,0,0,0,0,,,0,0,520,0,,,0,0,0,0
33-2022,,,,,,,0,0,,,,,,,0,0,,,,,,
33-3011,210,0,130,0,240,0,460,0,440,0,100,0,,,3960,0,50,0,90,0,230,0
33-3012,3020,1,1460,1,3770,1,6740,1,1460,1,1740,1,8780,1,34460,1,3900,1,1220,1,2340,1
33-3021,830,0,260,0,420,0,830,0,1190,0,140,0,3840,0,8920,0,360,0,220,0,810,0
33-3031,,,,,,,,,,,,,,,360,0,70,0,,,,
33-3041,,,,,0,1,170,1,100,1,,,0,1,490,1,,,,,0,1
33-3051,1880,0,1280,0,1950,0,4930,0,4960,0,900,0,27120,0,47870,0,820,0,1040,0,2930,0
33-3052,,,,,,,,,,,,,1440,1,1480,1,,,,,,
33-9011,110,0,80,0,80,0,130,0,0,0,50,0,,,850,0,50,0,120,0,140,0
33-9021,120,0,50,0,60,0,0,0,150,0,,,0,0,1960,0,,,160,0,0,0
33-9031,,,,,50,1,,,,,,,,,0,1,,,,,,
33-9032,3090,1,2220,1,3220,1,9110,1,13690,1,910,1,72770,1,112750,1,420,1,970,1,5900,1
33-9091,140,0,140,0,230,0,470,0,1320,0,60,0,5470,0,8390,0,30,0,160,0,320,0
33-9092,820,1,300,1,490,1,810,1,1870,1,70,1,3260,1,8770,1,160,1,430,1,460,1
35-1011,890,0,280,0,630,0,2410,0,1460,0,300,0,7940,0,15110,0,260,0,280,0,640,0
35-1012,2770,1,2100,1,3350,1,4770,1,6850,1,1100,1,19780,1,46440,1,720,1,1440,1,3450,1
35-2011,0,1,570,1,1670,1,670,1,2230,1,0,1,7510,1,16780,1,1000,1,650,1,1680,1
35-2012,960,1,830,1,1430,1,2070,1,2250,1,640,1,4970,1,16020,1,540,1,700,1,1580,1
35-2014,3760,1,2600,1,3430,1,6670,1,9360,1,1160,1,33030,1,67370,1,1290,1,1320,1,4630,1
35-2015,600,1,0,1,1050,1,640,1,890,1,330,1,6450,1,12070,1,430,1,400,1,1040,1
35-2021,3300,1,2820,1,2870,1,6460,1,8690,1,1110,1,31460,1,63560,1,1000,1,2090,1,3670,1
35-3011,2960,1,1930,1,2750,1,4070,1,4710,1,1150,1,19090,1,43730,1,1160,1,1630,1,4210,1
35-3021,10930,1,8220,1,11600,1,18260,1,25010,1,4020,1,51870,1,158140,1,3340,1,6150,1,18340,1
35-3022,2010,1,1350,1,2460,1,1540,1,4450,1,660,1,15300,1,31480,1,270,1,520,1,2760,1
35-3031,8520,1,5280,1,10220,1,17270,1,22300,1,2770,1,69170,1,155660,1,3450,1,4010,1,12400,1
35-3041,1040,1,900,1,1070,1,2390,1,2060,1,620,1,6070,1,16550,1,260,1,590,1,1490,1
35-9011,1190,1,1510,1,1680,1,3750,1,3600,1,320,1,17980,1,33410,1,590,1,580,1,1750,1
35-9021,2190,1,1500,1,2390,1,3420,1,4460,1,950,1,14390,1,34360,1,880,1,1430,1,2690,1
35-9031,1300,1,800,1,1360,1,2780,1,3440,1,260,1,8800,1,20990,1,340,1,640,1,1230,1
37-1011,760,1,450,1,740,1,1610,1,1850,1,220,1,5700,1,13150,1,310,1,450,1,980,1
37-1012,230,1,260,1,380,1,810,1,1430,1,60,1,890,1,4770,1,130,1,180,1,390,1
37-2011,10680,1,7160,1,10740,1,20150,1,25620,1,3980,1,95330,1,196830,1,3200,1,6600,1,12310,1
37-2012,2770,1,1960,1,2210,1,6300,1,3880,1,1250,1,25460,1,50540,1,1160,1,1530,1,3860,1
37-2021,180,1,90,1,120,1,1030,1,710,1,,,590,1,2910,1,20,1,,,120,1
37-3011,3870,1,2570,1,3480,1,9320,1,13370,1,990,1,5450,1,46430,1,1240,1,1470,1,4400,1
37-3012,,,0,1,0,1,0,1,0,1,,,0,1,560,1,0,1,,,,
37-3013,0,1,,,,,0,1,360,1,0,1,0,1,1520,1,,,0,1,0,1
39-1011,,,,,0,0,,,,,,,,,370,0,,,,,100,0
39-1012,,,,,,,,,,,,,,,0,1,,,,,0,1
39-1021,1060,0,630,0,930,0,2380,0,2340,0,540,0,7320,0,17190,0,310,0,540,0,1100,0
39-2011,130,0,,,60,0,110,0,170,0,0,0,0,0,720,0,,,0,0,60,0
39-2021,940,1,410,1,800,1,1960,1,2780,1,260,1,4360,1,13220,1,290,1,380,1,980,1
39-3011,,,,,,,,,,,,,,,1000,1,,,,,520,1
39-3012,,,,,80,1,,,,,0,1,,,680,1,,,,,140,1
39-3021,,,,,,,0,1,,,,,0,1,0,1,,,,,,
39-3031,180,1,200,1,230,1,950,1,850,1,50,1,5950,1,9250,1,,,140,1,520,1
39-3091,1030,1,520,1,1020,1,2970,1,2710,1,270,1,4110,1,14840,1,170,1,280,1,1590,1
39-3092,,,,,,,0,1,,,,,1230,1,1350,1,,,,,,
39-3093,0,0,90,0,90,0,180,0,210,0,,,1050,0,1720,0,,,,,50,0
39-4011,,,,,,,,,,,,,,,0,1,,,,,,
39-4021,150,0,0,0,120,0,,,280,0,130,0,0,0,1270,0,,,60,0,,
39-5011,350,1,,,,,,,0,1,,,0,1,2130,1,,,,,,
39-5012,1160,0,580,0,1640,0,4060,0,4180,0,450,0,11360,0,26410,0,240,0,560,0,2130,0
39-5091,,,,,,,,,,,,,690,0,800,0,,,,,,
39-5092,0,1,380,1,380,1,310,1,3920,1,,,8310,1,14080,1,0,1,130,1,0,1
39-5093,80,1,,,,,420,1,370,1,,,900,1,1890,1,,,,,,
39-5094,180,0,70,0,0,0,0,0,670,0,,,2250,0,3950,0,0,0,60,0,80,0
39-6011,50,1,190,1,80,1,220,1,150,1,,,3380,1,4290,1,0,1,,,110,1
39-6012,0,0,,,160,0,460,0,0,0,,,2750,0,4080,0,110,0,0,0,100,0
39-7011,0,1,50,1,160,1,210,1,0,1,,,1590,1,2460,1,30,1,0,1,130,1
39-7012,,,,,,,,,,,,,0,0,0,0,,,,,,
39-9011,2500,0,1470,0,2270,0,4910,0,4550,0,1210,0,15300,0,36500,0,590,0,1420,0,2290,0
39-9021,6130,1,4460,1,8210,1,16700,1,23770,1,5670,1,74130,1,156820,1,3440,1,4390,1,9430,1
39-9031,1050,0,690,0,1100,0,2390,0,2370,0,170,0,8970,0,18420,0,170,0,290,0,1170,0
39-9032,1320,0,920,0,1850,0,3400,0,3950,0,470,0,11890,0,27260,0,450,0,740,0,2180,0
39-9041,350,0,280,0,300,0,630,0,630,0,,,2350,0,6330,0,150,0,340,0,440,0
41-1011,3940,0,2750,0,4430,0,7640,0,10150,0,1630,0,23230,0,63120,0,1530,0,2060,0,5620,0
41-1012,880,0,680,0,1060,0,1580,0,2440,0,190,0,11960,0,21180,0,200,0,270,0,1500,0
41-2011,12450,1,8360,1,14590,1,24980,1,30170,1,5010,1,69260,1,193870,1,4550,1,6760,1,17480,1
41-2012,,,,,,,,,,,,,,,880,1,,,,,250,1
41-2021,1240,1,1170,1,1620,1,1900,1,3140,1,420,1,8750,1,21180,1,460,1,710,1,1740,1
41-2022,740,1,940,1,1110,1,1660,1,1680,1,460,1,1130,1,9630,1,310,1,450,1,1150,1
41-2031,17210,1,12370,1,19030,1,39870,1,53690,1,6430,1,134640,1,322980,1,6060,1,8430,1,24370,1
41-3011,410,1,240,1,470,1,740,1,1180,1,,,17480,1,21790,1,140,1,260,1,540,1
41-3021,1220,1,850,1,0,1,2800,1,4650,1,300,1,6560,1,21040,1,190,1,430,1,1660,1
41-3031,840,0,610,0,910,0,,,3950,0,170,0,46330,0,57550,0,0,0,400,0,1850,0
41-3041,90,0,120,0,230,0,0,0,650,0,0,0,4440,0,5970,0,0,0,0,0,310,0
41-4011,880,0,700,0,1620,0,1320,0,2920,0,110,0,5130,0,16220,0,50,0,280,0,1840,0
41-4012,4080,1,3670,1,5330,1,8030,1,15730,1,1120,1,38620,1,87740,1,910,1,1910,1,6860,1
41-9011,80,1,50,1,170,1,370,1,620,1,70,1,2260,1,4460,1,0,1,0,1,160,1
41-9012,0,1,,,,,,,,,,,,,490,1,,,,,,
41-9021,0,1,0,1,,,0,1,,,0,1,930,1,1610,1,,,0,1,,
41-9022,160,1,170,1,310,1,660,1,1020,1,0,1,3350,1,6020,1,30,1,0,1,210,1
41-9031,160,0,140,0,290,0,290,0,340,0,,,1270,0,2750,0,,,0,0,160,0
41-9041,220,1,0,1,600,1,550,1,760,1,0,1,2800,1,7510,1,,,180,1,0,1
43-1011,6420,0,4270,0,6880,0,10520,0,17420,0,1890,0,53680,0,114050,0,1370,0,2760,0,8020,0
43-2011,390,1,240,1,370,1,420,1,810,1,150,1,2440,1,5580,1,70,1,250,1,410,1
43-2021,90,1,,,0,1,0,1,140,1,,,360,1,800,1,,,0,1,50,1
43-3011,570,1,530,1,1990,1,1030,1,3060,1,240,1,4640,1,17130,1,100,1,700,1,4200,1
43-3021,1620,1,1440,1,2020,1,4070,1,7740,1,590,1,12260,1,33680,1,420,1,700,1,2650,1
43-3031,7160,1,4780,1,6900,1,11340,1,20380,1,2850,1,47460,1,115270,1,2150,1,3740,1,7920,1
43-3041,,,,,,,,,,,,,,,260,0,,,,,60,0
43-3051,590,1,440,1,880,1,1020,1,1400,1,270,1,3730,1,9730,1,160,1,330,1,820,1
43-3061,380,1,190,1,350,1,360,1,610,1,140,1,1160,1,3790,1,100,1,140,1,330,1
43-3071,1540,1,910,1,1280,1,3090,1,4580,1,770,1,11060,1,26650,1,650,1,700,1,2050,1
43-4011,160,1,90,1,60,1,0,1,430,1,0,1,5130,1,6250,1,,,60,1,,
43-4021,0,1,,,,,,,0,1,,,0,1,0,1,,,,,0,1
43-4031,870,0,310,0,460,0,940,0,910,0,220,0,2430,0,7360,0,270,0,290,0,580,0
43-4041,70,1,70,1,100,1,100,1,320,1,0,1,860,1,1880,1,0,1,0,1,240,1
43-4051,10560,1,7200,1,13740,1,14220,1,24290,1,2950,1,62480,1,157070,1,1920,1,4040,1,13320,1
43-4061,690,1,500,1,800,1,1030,1,1780,1,340,1,3950,1,10550,1,280,1,330,1,800,1
43-4071,480,1,290,1,420,1,810,1,1490,1,190,1,5040,1,9810,1,110,1,450,1,510,1
43-4081,710,1,680,1,530,1,790,1,800,1,180,1,4830,1,10380,1,440,1,360,1,1040,1
43-4111,800,1,490,1,1240,1,1170,1,1970,1,310,1,6730,1,14310,1,230,1,330,1,910,1
43-4121,430,1,460,1,560,1,1140,1,1500,1,200,1,2090,1,7230,1,150,1,320,1,390,1
43-4131,230,1,200,1,260,1,470,1,1420,1,80,1,2190,1,5780,1,0,1,200,1,660,1
43-4141,90,1,0,1,70,1,310,1,180,1,,,0,1,930,1,,,0,1,,
43-4151,450,1,340,1,560,1,650,1,1110,1,100,1,2490,1,6710,1,80,1,150,1,690,1
43-4161,720,1,410,1,930,1,900,1,1480,1,310,1,4730,1,10920,1,180,1,340,1,800,1
43-4171,4650,1,3250,1,4820,1,9570,1,18440,1,1890,1,37610,1,90100,1,1000,1,2450,1,6160,1
43-4181,290,1,150,1,80,1,220,1,550,1,,,9600,1,11400,1,40,1,100,1,150,1
43-5011,0,1,0,1,100,1,240,1,1320,1,,,4010,1,6660,1,230,1,0,1,530,1
43-5021,370,1,200,1,390,1,800,1,460,1,70,1,3350,1,6150,1,80,1,180,1,230,1
43-5031,360,0,250,0,400,0,720,0,1090,0,150,0,340,0,4090,0,130,0,190,0,430,0
43-5032,720,1,730,1,670,1,1220,1,1250,1,170,1,5020,1,11500,1,90,1,290,1,820,1
43-5041,60,1,,,,,130,1,0,1,0,1,840,1,1590,1,30,1,60,1,,
43-5051,410,1,270,1,350,1,860,1,980,1,220,1,2140,1,6090,1,270,1,250,1,340,1
43-5052,1160,1,920,1,1380,1,2720,1,3770,1,550,1,9060,1,22430,1,460,1,740,1,1670,1
43-5053,510,1,380,1,580,1,940,1,1950,1,0,1,4750,1,9540,1,20,1,0,1,340,1
43-5061,1230,1,910,1,1900,1,1970,1,3260,1,300,1,13670,1,26120,1,180,1,720,1,1600,1
43-5071,1680,1,1540,1,2370,1,3490,1,6760,1,800,1,12000,1,33150,1,540,1,1090,1,2690,1
43-5081,6020,1,5420,1,6470,1,17860,1,20690,1,2150,1,38690,1,112890,1,2000,1,3570,1,9010,1
43-5111,60,1,140,1,180,1,160,1,300,1,90,1,850,1,2170,1,20,1,130,1,210,1
43-6011,4080,1,1550,1,2660,1,7320,1,9620,1,740,1,51870,1,82810,1,400,1,1090,1,2970,1
43-6012,580,1,430,1,680,1,1010,1,1900,1,0,1,8340,1,14840,1,90,1,150,1,1130,1
43-6013,770,1,850,1,980,1,1130,1,1490,1,260,1,4520,1,11720,1,120,1,190,1,1370,1
43-6014,11600,1,6950,1,13460,1,21850,1,31620,1,3680,1,86170,1,197930,1,3010,1,6520,1,12310,1
43-9011,360,1,0,1,260,1,620,1,670,1,60,1,1800,1,4420,1,20,1,150,1,250,1
43-9021,1100,1,390,1,580,1,1110,1,2250,1,150,1,5680,1,12770,1,140,1,310,1,770,1
43-9022,1740,1,960,1,1000,1,2710,1,4050,1,500,1,1770,1,15720,1,570,1,560,1,1780,1
43-9031,0,0,0,0,0,0,0,0,0,0,,,590,0,780,0,,,,,,
43-9041,1020,1,470,1,430,1,800,1,1900,1,200,1,4050,1,10830,1,0,1,290,1,1310,1
43-9051,570,1,180,1,320,1,500,1,1420,1,110,1,4450,1,8290,1,110,1,170,1,430,1
43-9061,12270,1,6440,1,9380,1,18190,1,25590,1,3220,1,92450,1,188250,1,2590,1,4820,1,11800,1
43-9071,200,1,200,1,220,1,850,1,470,1,0,1,1670,1,4400,1,20,1,110,1,190,1
43-9081,70,1,0,1,0,1,0,1,0,1,,,820,1,1400,1,,,,,50,1
43-9111,0,1,0,1,,,0,1,0,1,,,490,1,650,1,,,0,1,0,1
45-1011,0,1,0,1,0,1,0,1,0,1,0,1,,,0,1,,,0,1,0,1
45-2011,,,,,,,0,1,0,1,,,0,1,,,0,1,,,,
45-2041,,,,,0,0,,,,,,,,,0,0,,,,,,
45-4011,,,0,1,,,,,,,,,,,0,1,,,,,0,1
45-4021,0,1,,,,,,,,,,,,,0,1,,,,,,
45-4022,60,1,0,1,,,,,,,0,1,,,380,1,170,1,0,1,0,1
45-4023,0,1,,,,,,,,,,,,,0,1,,,0,1,,
47-1011,1560,0,1130,0,1280,0,2910,0,4200,0,370,0,8400,0,23530,0,560,0,630,0,1820,0
47-2011,80,1,,,,,,,0,1,,,0,1,320,1,,,,,,
47-2021,330,1,260,1,300,1,570,1,1020,1,0,1,3280,1,6300,1,40,1,0,1,430,1
47-2022,0,1,,,,,0,1,920,1,,,0,1,1680,1,,,,,,
47-2031,2810,1,2080,1,2830,1,7600,1,10730,1,960,1,15640,1,48240,1,890,1,1330,1,2750,1
47-2041,,,,,0,1,,,220,1,0,1,,,1350,1,,,,,,
47-2042,,,,,0,1,,,,,,,,,470,1,,,,,0,1
47-2043,,,,,,,,,,,,,0,1,0,1,,,,,,
47-2044,110,1,160,1,,,150,1,390,1,,,0,1,1890,1,,,90,1,80,1
47-2051,230,1,150,1,350,1,1100,1,1730,1,140,1,3290,1,7640,1,40,1,90,1,500,1
47-2053,,,,,,,,,,,,,,,0,1,,,,,,
47-2061,3770,1,2100,1,3510,1,9490,1,12680,1,1260,1,20250,1,61070,1,1310,1,1630,1,4580,1
47-2071,0,1,0,1,0,1,,,220,1,70,1,610,1,2030,1,0,1,,,200,1
47-2072,,,,,,,,,,,,,0,1,,,,,,,,
47-2073,1320,1,600,1,840,1,2240,1,2090,1,400,1,1920,1,11940,1,480,1,620,1,1120,1
47-2081,190,1,0,1,210,1,380,1,650,1,50,1,1120,1,3110,1,0,1,100,1,280,1
47-2082,0,1,,,0,1,150,1,230,1,,,310,1,940,1,,,,,0,1
47-2111,2360,0,1150,0,1970,0,4040,0,5740,0,340,0,20110,0,40310,0,570,0,780,0,2500,0
47-2121,110,1,0,1,140,1,0,1,470,1,0,1,1110,1,2760,1,,,0,1,270,1
47-2131,70,1,0,1,0,1,0,1,0,1,,,0,1,800,1,,,0,1,0,1
47-2132,200,1,130,1,150,1,,,240,1,,,0,1,1110,1,,,0,1,0,1
47-2141,590,1,420,1,790,1,1640,1,2610,1,120,1,5720,1,13370,1,150,1,250,1,950,1
47-2142,,,,,,,,,,,,,0,1,360,1,,,,,,
47-2151,60,1,0,1,50,1,0,1,0,1,,,0,1,680,1,,,,,50,1
47-2152,1120,0,970,0,1330,0,3600,0,5990,0,190,0,12290,0,28340,0,220,0,530,0,1810,0
47-2161,,,60,1,,,0,1,0,1,,,510,1,660,1,,,,,0,1
47-2171,,,,,,,,,,,,,450,1,750,1,,,,,,
47-2181,410,1,400,1,470,1,470,1,610,1,170,1,1620,1,5070,1,130,1,250,1,520,1
47-2211,380,1,80,1,670,1,,,1650,1,0,1,3160,1,8110,1,,,0,1,840,1
47-2221,0,1,140,1,0,1,1210,1,1290,1,,,2160,1,5710,1,0,1,,,260,1
47-3011,0,1,0,1,0,1,0,1,350,1,,,670,1,1280,1,,,,,,
47-3012,50,1,90,1,50,1,220,1,0,1,0,1,430,1,1270,1,,,0,1,0,1
47-3013,60,1,,,0,1,610,1,560,1,0,1,3530,1,5200,1,50,1,,,140,1
47-3014,0,1,,,,,,,,,,,0,1,290,1,,,,,0,1
47-3015,0,1,50,1,70,1,360,1,480,1,,,1790,1,3020,1,,,,,150,1
47-3016,,,,,,,,,,,,,,,0,1,,,,,0,1
47-4011,470,1,340,1,530,1,960,1,1030,1,240,1,2550,1,7240,1,170,1,290,1,640,1
47-4021,0,0,0,0,0,0,,,180,0,,,3270,0,3850,0,,,,,120,0
47-4031,,,80,1,,,0,1,0,1,,,0,1,,,,,,,,
47-4041,280,1,170,1,210,1,620,1,430,1,110,1,2780,1,4980,1,,,70,1,300,1
47-4051,2110,1,1220,1,1640,1,2690,1,1400,1,1090,1,,,14880,1,1170,1,1480,1,2000,1
47-4061,,,,,,,,,,,,,,,2330,1,,,,,,
47-4071,80,1,170,1,0,1,0,1,230,1,,,,,1410,1,0,1,0,1,100,1
47-5012,,,,,,,,,,,,,,,0,1,,,,,0,1
47-5013,,,,,,,,,,,,,,,0,1,,,,,0,1
47-5021,0,1,,,0,1,0,1,220,1,0,1,0,1,460,1,0,1,0,1,0,1
47-5031,,,,,,,,,,,,,0,0,0,0,,,,,,
47-5041,0,1,0,1,0,1,0,1,,,,,,,0,1,,,60,1,0,1
47-5042,,,,,,,,,,,,,,,0,1,0,1,,,,
47-5051,0,1,,,,,,,,,,,,,0,1,,,0,1,,
47-5071,,,,,,,,,,,,,,,0,1,,,,,0,1
47-5081,,,,,,,,,,,,,,,0,0,,,,,,
49-1011,1750,0,1390,0,1660,0,2760,0,3550,0,700,0,10070,0,25590,0,530,0,910,0,2080,0
49-2011,410,1,260,1,650,1,550,1,1400,1,80,1,2770,1,6930,1,50,1,120,1,610,1
49-2021,0,1,,,,,,,,,,,,,270,1,,,,,,
49-2022,870,0,550,0,400,0,990,0,1830,0,210,0,4890,0,11100,0,170,0,560,0,410,0
49-2091,,,,,,,,,0,1,,,0,1,0,1,,,0,1,,
49-2092,0,1,0,1,0,1,0,1,170,1,0,1,0,1,490,1,,,0,1,60,1
49-2093,,,,,,,,,,,,,510,1,960,1,,,,,,
49-2094,240,0,200,0,230,0,140,0,250,0,0,0,0,0,2000,0,60,0,110,0,310,0
49-2095,,,,,0,0,220,0,,,70,0,1480,0,2110,0,50,0,,,50,0
49-2096,,,,,,,0,1,0,1,,,0,1,590,1,,,,,0,1
49-2097,80,1,70,1,100,1,0,1,350,1,,,600,1,1500,1,30,1,60,1,0,1
49-2098,290,1,130,1,190,1,500,1,1070,1,80,1,2030,1,4690,1,70,1,0,1,210,1
49-3011,130,1,50,1,90,1,240,1,290,1,,,1900,1,3080,1,0,1,100,1,150,1
49-3021,530,1,410,1,610,1,1550,1,1590,1,190,1,1290,1,7150,1,70,1,210,1,700,1
49-3022,0,1,,,0,1,,,,,,,0,1,930,1,,,,,170,1
49-3023,2710,1,2060,1,3020,1,5590,1,6980,1,1290,1,7180,1,34810,1,990,1,1510,1,3340,1
49-3031,860,1,980,1,910,1,1250,1,2120,1,420,1,4610,1,13300,1,450,1,450,1,910,1
49-3041,50,1,130,1,100,1,0,1,,,,,,,570,1,70,1,50,1,,
49-3042,340,0,310,0,250,0,320,0,440,0,90,0,340,0,2710,0,100,0,140,0,360,0
49-3043,,,,,,,,,,,,,,,1400,1,,,130,1,,
49-3051,120,1,0,1,230,1,,,400,1,0,1,0,1,1260,1,140,1,0,1,0,1
49-3052,80,1,,,0,1,120,1,0,1,,,,,650,1,,,0,1,70,1
49-3053,150,1,150,1,0,1,170,1,320,1,,,0,1,1480,1,0,1,120,1,190,1
49-3091,,,,,,,,,,,,,0,1,370,1,,,,,0,1
49-3092,,,0,1,,,,,,,0,1,,,0,1,30,1,,,0,1
49-3093,0,1,320,1,0,1,980,1,180,1,0,1,0,1,2200,1,0,1,120,1,170,1
49-9011,,,,,0,1,0,1,0,1,,,,,0,1,,,,,0,1
49-9012,420,1,280,1,480,1,340,1,560,1,50,1,1640,1,4310,1,70,1,110,1,370,1
49-9021,1030,1,800,1,1310,1,1490,1,3690,1,410,1,5520,1,15920,1,200,1,520,1,840,1
49-9031,180,1,0,1,290,1,0,1,880,1,0,1,1330,1,3330,1,,,0,1,0,1
49-9041,1080,1,980,1,1170,1,1260,1,1120,1,420,1,1210,1,9860,1,350,1,730,1,1510,1
49-9043,330,1,280,1,330,1,430,1,480,1,140,1,480,1,3410,1,160,1,160,1,600,1
49-9044,150,1,60,1,70,1,,,,,0,1,270,1,920,1,,,,,200,1
49-9045,,,,,,,,,,,,,,,0,1,,,,,,
49-9051,300,0,310,0,170,0,870,0,780,0,130,0,,,5000,0,320,0,380,0,250,0
49-9052,690,0,370,0,380,0,1010,0,860,0,80,0,4750,0,8900,0,0,0,210,0,340,0
49-9061,,,,,,,,,0,1,,,0,1,,,,,,,,
49-9062,150,0,70,0,150,0,,,270,0,0,0,720,0,2150,0,20,0,60,0,210,0
49-9063,,,,,,,0,1,130,1,0,1,,,580,1,0,1,,,0,1
49-9064,,,,,,,,,,,,,0,1,0,1,,,,,,
49-9071,5170,1,3590,1,6030,1,11010,1,11640,1,2060,1,50480,1,102190,1,2070,1,2830,1,6930,1
49-9091,0,1,160,1,170,1,,,260,1,,,500,1,1700,1,60,1,0,1,210,1
49-9092,,,,,,,,,,,,,,,0,0,,,,,,
49-9094,60,1,0,1,0,1,0,1,0,1,,,630,1,1110,1,0,1,0,1,0,1
49-9095,,,,,,,,,,,,,,,0,0,,,0,0,,
49-9096,,,,,,,0,1,0,1,,,0,1,0,1,,,0,1,,
49-9097,,,,,,,,,,,,,,,1060,1,,,,,,
49-9098,470,1,270,1,200,1,520,1,1070,1,190,1,1560,1,4960,1,60,1,180,1,320,1
51-1011,1720,0,1690,0,3050,0,2930,0,4290,0,790,0,6140,0,26240,0,620,0,1530,0,3430,0
51-2011,,,,,,,,,,,,,0,1,0,1,,,,,,
51-2021,,,,,0,1,0,1,0,1,0,1,,,510,1,,,,,150,1
51-2022,240,1,1250,1,1910,1,710,1,1860,1,0,1,1020,1,10530,1,,,1650,1,1600,1
51-2023,110,1,,,130,1,110,1,320,1,0,1,,,1390,1,40,1,60,1,390,1
51-2031,,,,,,,,,,,,,,,420,1,,,0,1,0,1
51-2041,0,0,160,0,170,0,0,0,320,0,70,0,760,0,2000,0,50,0,120,0,210,0
51-2091,,,,,,,,,,,,,,,0,1,,,,,90,1
51-2092,4430,1,2240,1,4770,1,3440,1,5470,1,1720,1,4910,1,39090,1,1610,1,3490,1,6750,1
51-2093,,,,,,,,,,,,,,,0,1,,,,,,
51-3011,800,1,410,1,340,1,1460,1,1280,1,210,1,4360,1,10180,1,130,1,260,1,930,1
51-3021,260,1,140,1,340,1,950,1,920,1,,,1870,1,5090,1,110,1,140,1,260,1
51-3022,120,1,100,1,70,1,780,1,280,1,,,1260,1,2920,1,0,1,60,1,150,1
51-3023,0,1,,,0,1,230,1,,,,,0,1,910,1,,,,,0,1
51-3091,,,0,1,0,1,100,1,0,1,0,1,0,1,520,1,,,0,1,0,1
51-3092,330,1,230,1,740,1,830,1,1280,1,490,1,2410,1,7840,1,290,1,320,1,910,1
51-3093,0,1,0,1,220,1,,,470,1,0,1,790,1,2180,1,,,,,430,1
51-4011,90,1,390,1,880,1,250,1,820,1,,,0,1,4620,1,50,1,510,1,910,1
51-4012,0,0,100,0,260,0,0,0,160,0,50,0,0,0,1160,0,,,70,0,330,0
51-4021,,,350,1,0,1,160,1,100,1,0,1,0,1,1250,1,,,0,1,0,1
51-4022,,,0,1,80,1,0,1,0,1,0,1,,,290,1,,,,,,
51-4023,0,1,,,180,1,,,0,1,,,,,430,1,,,0,1,90,1
51-4031,220,1,110,1,450,1,410,1,690,1,200,1,860,1,4210,1,40,1,230,1,980,1
51-4032,0,1,0,1,120,1,,,0,1,0,1,,,440,1,,,50,1,60,1
51-4033,0,1,170,1,420,1,100,1,280,1,200,1,0,1,2070,1,,,160,1,510,1
51-4034,0,1,180,1,460,1,,,0,1,0,1,0,1,1400,1,,,80,1,390,1
51-4035,,,,,120,1,,,130,1,,,0,1,540,1,,,0,1,160,1
51-4041,900,1,1000,1,3010,1,1260,1,2140,1,430,1,850,1,13900,1,170,1,1180,1,2740,1
51-4051,,,,,0,1,,,,,,,,,530,1,,,,,110,1
51-4052,,,60,1,,,,,,,,,0,1,340,1,,,,,0,1
51-4061,,,,,50,1,0,1,,,,,0,1,0,1,,,,,0,1
51-4062,,,,,,,,,,,,,,,0,1,,,,,0,1
51-4071,,,,,,,,,,,,,,,0,1,,,,,,
51-4072,150,1,410,1,780,1,400,1,300,1,330,1,0,1,3270,1,190,1,100,1,470,1
51-4081,200,1,290,1,600,1,150,1,460,1,90,1,0,1,2630,1,,,0,1,560,1
51-4111,90,1,160,1,470,1,160,1,220,1,80,1,0,1,2540,1,,,130,1,980,1
51-4121,630,1,740,1,1000,1,920,1,1260,1,290,1,1800,1,9190,1,220,1,620,1,1600,1
51-4122,0,1,50,1,100,1,0,1,0,1,0,1,0,1,790,1,60,1,70,1,230,1
51-4191,,,0,1,140,1,0,1,110,1,90,1,0,1,740,1,,,120,1,80,1
51-4192,,,0,1,,,,,0,1,,,,,0,1,,,,,0,1
51-4193,0,1,,,160,1,0,1,180,1,0,1,,,1330,1,,,500,1,220,1
51-4194,,,,,0,1,,,0,1,,,0,1,370,1,,,,,80,1
51-5111,220,1,60,1,210,1,0,1,430,1,60,1,580,1,2120,1,,,130,1,260,1
51-5112,660,1,370,1,1070,1,660,1,1460,1,280,1,2960,1,8960,1,230,1,320,1,940,1
51-5113,200,1,90,1,260,1,0,1,430,1,70,1,350,1,1680,1,,,130,1,110,1
51-6011,690,1,680,1,560,1,1430,1,2430,1,410,1,8200,1,15650,1,170,1,240,1,760,1
51-6021,0,1,0,1,170,1,630,1,320,1,0,1,770,1,2320,1,,,80,1,120,1
